0,1,2,3,term
18.901657,4.142108,-10.075785,0.32109144,alternative rock
11.687748,-0.3316267,-9.097186,7.1225367,rock
12.959619,-9.936338,-13.595399,0.99152863,hard rock
14.285635,-10.258498,-12.826184,-10.155635,heavy metal
1.9621875,11.907828,4.1763606,-6.9879074,00s
-10.1999,-7.4963408,2.0043528,-5.812394,5
-5.2206936,-9.45471,-1.505892,-5.036669,check this out
-4.3873854,1.3938906,4.1187444,-14.888629,bay area
5.9565134,6.320347,-2.5367372,6.5071244,classic
5.162421,21.801167,1.7267681,13.152319,hip-hop
-6.9546604,2.9084618,2.1564205,4.22834,stream
-7.6540394,-5.010205,0.60340744,1.6920253,1979-2006: a hip-hop odyssey - 800 tracks in a 48 minute mix
0.6740769,4.3614216,-5.2225747,20.80937,60s
2.1879146,9.716744,-3.968713,22.2417,soul
10.640638,8.880988,-5.6166277,12.275047,pop
-10.047967,7.9493036,7.30264,-1.2384096,male vocalists
-3.580548,13.148479,1.4552194,17.652016,oldies
-9.962598,-1.4078441,1.8809431,6.3916726,1969
-13.742085,-0.8779243,5.0676184,1.1470474,close harmony
-5.5919604,12.967339,5.2485547,7.1861987,1960s
-11.850645,5.944519,7.094202,0.16583799,sixties
10.546477,15.106108,-1.208261,4.107246,beautiful
8.920998,7.1359305,-4.7053065,9.605459,love
-13.74374,-1.8081222,4.455352,1.7943946,60's
-12.538873,-6.9674983,0.3046245,6.8830013,1960's
-7.1391077,-3.448016,0.5395375,3.962105,jukebox heaven
-10.854465,-2.9304867,0.5674173,9.530425,60s gold
-10.950094,-6.0075083,-1.1029787,10.222519,gh10
-7.527854,-8.705174,-2.82852,6.6641045,radiotsar approved
6.2967973,-9.567337,-11.700953,10.546172,classic rock
13.354988,-6.9468946,-14.207027,8.63099,psychedelic
5.190078,-4.22662,-10.10322,16.29504,blues rock
-0.41691807,5.831758,-4.3745966,22.192684,latin
1.5382922,7.1763506,-5.247864,23.642214,jazz
11.843551,8.29888,-7.1611743,14.449248,singer-songwriter
10.583645,13.04869,-5.37386,16.541199,piano
9.495244,16.511698,-0.47637734,5.70574,chill
11.568016,13.836911,-2.363737,4.1779118,british
11.970016,8.897474,-6.817985,13.442606,chillout
-6.3008275,12.672147,3.6352859,13.718158,vocal jazz
-3.992266,13.492938,2.654076,14.655887,jazz vocal
3.5329475,15.850491,1.3850307,9.400172,jazzy
9.862443,6.9210935,-6.07754,12.275533,mellow
12.956508,5.8966064,-9.308404,15.489844,acoustic
4.9121943,16.036215,1.8664404,4.816739,relax
7.3757277,13.298078,-1.7644093,11.104545,vocal
7.088851,14.306392,-2.4004765,14.453682,nu jazz
8.949212,11.507377,-1.3445188,2.2779188,favorites
-10.164886,6.960556,4.459961,9.601325,modern jazz
-6.931549,-8.267858,-0.13371609,-4.5064244,coffee break
-8.2008,-7.605871,0.69097483,-3.9828947,10
-10.034584,-5.1598287,2.1407785,-0.47326082,wonderful voice
-6.8458424,-5.972879,1.902746,-10.128933,good pop
-4.2173424,1.1688824,0.32835814,4.8770013,contemporary jazz
-8.604646,-3.664723,3.393542,-8.113708,songs i love
-8.956373,-11.219515,-2.8991728,5.1005607,dieta de martes
-3.020502,-7.831456,-2.7315319,0.08422291,gottolistenthisagain
0.77971977,14.655502,4.413684,0.2265139,positive
1.3567846,17.272532,3.4281158,7.310117,smooth
1.7587367,14.98667,3.7878563,1.692603,feel good
7.2887607,13.60198,0.7519458,-0.57606965,favourites
3.0387392,15.570374,2.657733,4.5434785,male
16.94214,4.2100677,-11.871224,13.295212,cover
11.150098,8.945261,-4.0639486,4.6773615,sleep
18.329548,10.531678,-8.128058,6.2719483,britpop
14.608627,14.985511,-4.2877197,7.3280087,dance
17.0739,3.878045,-11.084774,9.670561,indie
2.7119575,-3.4663074,-10.174127,21.715126,blues
18.667639,-5.7516522,-14.6880455,-0.55822384,punk
8.321673,5.5139327,-4.3680987,7.2265887,favourite
6.558351,0.5514669,-7.5502853,13.296419,soft rock
1.9327362,6.8391457,-3.7591758,17.976,easy listening
-7.820702,-5.2101874,2.0912862,-6.0472507,get it
-9.866072,0.6333287,5.5100145,-6.3645205,great voice
