0,1,2,3,term
7.528148,-2.1306932,12.944063,18.629078,alternative rock
5.3637304,-5.462267,11.915976,17.426207,rock
0.88789713,-0.6511944,1.8881428,3.0202854,hard rock
3.419506,-4.963949,14.327685,25.356825,heavy metal
15.419779,-12.282009,-3.3633783,4.5411563,00s
1.8161874,0.7590243,0.73108643,8.471328,5
3.8948605,7.1528463,-3.687618,10.357217,check this out
5.76127,-3.14789,-2.9377913,3.6201563,bay area
9.680876,7.0590754,2.245847,10.887201,classic
3.0950294,2.1054568,0.41350627,3.9936717,hip-hop
0.6106861,-5.212433,-3.7916996,3.7999709,stream
-0.7749355,-5.789069,-5.1670537,5.424225,1979-2006: a hip-hop odyssey - 800 tracks in a 48 minute mix
4.729928,-1.3578258,-6.4757175,5.650392,60s
3.10465,-2.7752721,-5.694492,2.5396674,soul
15.443884,7.1995177,3.7744823,12.304978,pop
16.712479,-4.115812,-7.084993,3.8860598,male vocalists
3.443026,1.9146798,0.33290124,2.9346836,oldies
6.1126814,-0.30231687,-10.870125,5.1731267,1969
8.882232,1.2048545,-11.617958,5.76469,close harmony
12.109367,-3.7991664,2.795636,6.96834,1960s
13.261263,-5.743154,-7.776458,3.1549263,sixties
14.497538,5.6247234,6.045938,12.703221,beautiful
12.040341,10.809067,-0.49056384,14.599469,love
6.437441,0.7188299,-12.880469,6.8555217,60's
3.8798513,0.20904319,-12.505778,7.4118066,1960's
0.2819686,-0.69434506,-5.1236115,3.4784513,jukebox heaven
1.3558084,-1.9296403,-10.694929,6.936873,60s gold
1.0044112,-2.2451923,-10.706874,7.165291,gh10
0.023649964,-0.59866244,-7.0157485,5.4966397,radiotsar approved
3.1475406,2.1046073,0.14235514,2.9750848,classic rock
5.761486,10.898671,-0.991379,17.96278,psychedelic
9.029789,-3.4081132,9.995533,12.94362,blues rock
4.278459,3.761166,-0.35110462,5.325255,latin
3.9755995,3.5042434,-0.5661082,4.8139396,jazz
13.821528,8.465146,-2.4566822,10.544694,singer-songwriter
7.915959,6.5828505,-1.9782034,10.401408,piano
15.889261,4.3891473,5.115998,10.757631,chill
3.928175,1.2093108,0.7617938,2.5663354,british
11.020629,11.28625,-3.5673232,14.413053,chillout
4.4840155,2.1224678,0.0913902,3.26263,vocal jazz
4.933307,0.9386139,0.8486115,3.157333,jazz vocal
16.032183,4.5029488,4.961082,10.758429,jazzy
18.6121,6.0882506,-1.3377559,9.443835,mellow
2.8039236,1.925335,-0.106370896,2.6604497,acoustic
19.022005,2.6084118,3.8262098,9.514395,relax
0.826135,0.54507345,0.32742724,1.0171342,vocal
2.1639302,-9.0717125,0.04177243,7.885352,nu jazz
6.8538632,1.1441282,7.8442764,11.846614,favorites
1.3160715,-13.661244,-2.829283,8.576986,modern jazz
3.3833296,6.238045,-5.881756,9.380413,coffee break
0.5582959,-2.6366544,2.1065102,6.7927976,10
5.138138,4.318765,-6.6228538,5.910082,wonderful voice
5.553827,-10.98991,-5.4514246,4.328208,good pop
1.309705,-16.693474,-3.5668874,10.883691,contemporary jazz
9.693951,2.2985168,-8.485844,4.8466964,songs i love
-2.1998212,-2.0716457,-8.607041,9.398677,dieta de martes
0.20422706,3.2139757,-4.0046377,6.8306704,gottolistenthisagain
13.344499,-1.2752753,5.8806252,7.566213,positive
19.788233,2.8245494,3.888543,9.9141035,smooth
15.816054,0.8958077,6.1618533,9.368073,feel good
10.35745,1.3464282,5.364538,7.8476615,favourites
10.563891,2.837901,7.355663,11.540357,male
3.8022692,1.9321507,2.5931346,14.929409,cover
6.8856177,7.5391417,3.9450996,14.698731,sleep
8.011969,8.957235,4.6834927,17.674719,britpop
1.2528688,1.6848233,0.87893945,3.925756,dance
1.1160203,1.6221027,0.4857731,3.3793077,indie
3.6300669,2.691091,-0.12218901,3.769119,blues
2.9168506,2.5932417,0.32759434,4.099296,punk
13.687537,11.630761,3.1138318,18.090054,favourite
5.692258,3.0972598,-16.680199,11.5820055,soft rock
19.60164,13.201199,1.2312242,18.358673,easy listening
8.290692,-1.7785118,-6.1578054,2.3479037,get it
11.73799,2.4140403,-5.8983545,4.5169454,great voice
9.536786,-4.825145,-9.220441,3.2172408,soul jazz
12.443425,-2.8614073,-8.0393915,3.2625601,crooners
15.552953,-8.393076,-2.1313856,3.8624482,great lyrics
3.9364402,-3.116639,-3.0948715,2.41891,piano jazz
6.102179,-13.802657,4.231409,9.085718,brit pop
3.4981308,-1.4244485,-3.7030504,3.8766944,jazz vocals
14.080119,-10.778824,3.7715096,6.329271,love song
5.1578007,3.2472444,-0.076738104,4.6916347,smooth jazz
3.712664,2.1648507,0.67453474,3.957194,new wave
4.953375,2.6132684,0.6974767,4.1825123,80s
12.138274,-1.3014219,-12.349533,5.103307,freedom
-2.621254,1.774349,-4.199075,11.102977,strangeromanticdeadrockcave
0.82380044,0.92652774,1.730514,6.2065954,progressive trance
1.8049116,-1.917558,-1.1715635,4.887786,psytrance
1.9863043,-0.97368354,-0.97670054,4.6943154,goa
11.092189,5.6005235,10.8497925,20.218655,awesome
0.3407983,-0.24280387,0.68833303,3.9407275,psychedelic trance
7.075055,10.769397,2.3274214,19.2613,sexy
6.812508,-9.698533,5.9174857,7.9374866,wicked
1.6932633,-1.1194063,-0.78961915,3.826238,psy trance
-1.8244652,-7.3555207,3.125888,11.645181,progressive psytrance
