0,1,2,3,4,5,6,7,term
-4.989529,0.042942923,0.0797393,-0.3403793,0.03904926,-0.63199526,-6.6152086,0.08225883,alternative rock
-2.3559868,0.43939698,-0.99065286,-0.16483718,2.4461415,-0.85178524,-4.7457314,-1.8634456,rock
-2.6635315,0.0016021869,-0.4748787,-4.9410515,-0.16593228,-3.220044,-0.6344345,3.5002484,hard rock
-0.66311246,-0.5421745,-1.896863,-5.8432546,0.17682007,-5.244482,-1.3251045,5.982543,heavy metal
1.6976314,7.988051,7.9607053,-0.71729046,-1.1049621,-13.69292,-16.9175,3.89956,00s
-3.3332355,-4.089275,-2.697559,-0.10679854,5.062167,-3.5388637,-4.7783747,4.1913066,5
-2.5708294,-6.754649,2.0791452,-5.184047,0.47999418,-1.7147434,-3.1878104,3.7533429,check this out
-1.2997507,-2.1469705,10.149318,-4.724129,0.9988186,-6.857565,-5.3997273,1.6575582,bay area
0.4301368,0.7969461,-0.6952404,-1.2995961,1.2554854,1.115514,-2.1783123,1.5783511,classic
-1.1621207,1.6733782,4.4571366,-7.852295,1.3342556,-6.371213,-0.4630591,6.8695655,hip-hop
-4.832503,4.355797,5.7963176,-9.580622,6.298874,-3.1928723,-0.17631623,7.750596,stream
0.092382215,-1.3767202,2.7553306,-3.4062986,4.4820557,-2.3859,0.17834358,0.37295237,1979-2006: a hip-hop odyssey - 800 tracks in a 48 minute mix
-2.5971856,7.4612403,2.7440019,-0.30422497,8.023317,-1.6247361,-8.912943,4.4653707,60s
-4.468784,2.4385273,6.0121613,-1.3055496,3.9453824,-0.29943126,-4.6665854,1.1170003,soul
1.2967578,2.24446,0.68575096,-4.926598,1.8393555,2.4139228,-3.3316455,1.1291413,pop
5.804299,7.597038,-4.549643,-0.7663766,6.5861597,-2.581898,-20.908434,3.1606967,male vocalists
2.3942444,3.7601025,1.596263,-4.269332,3.170508,0.8661207,-3.8944287,4.5885935,oldies
4.5574446,-2.3634322,2.8221023,-3.3323412,6.1472387,-7.3302317,-6.400814,-2.312015,1969
1.1554893,-0.08059109,-0.24814785,0.2119458,3.2463784,-0.23045619,-3.157498,2.2892132,close harmony
0.48160136,3.9425073,1.6670946,-1.6720458,3.1055288,0.8680051,-5.0141416,3.8238802,1960s
1.0757444,1.770927,0.3603186,0.0032627834,3.1127985,0.27260053,-5.461369,2.8274508,sixties
-2.8774025,0.37415406,1.0998212,-1.1871521,0.36083207,1.1368508,-2.7556262,1.2001692,beautiful
-0.66073626,1.279559,1.8373393,-1.3344178,2.2884333,2.2454045,-3.335654,1.4796919,love
0.2379147,0.5920955,-0.38337913,-0.061887313,3.4324365,0.50694424,-3.491008,2.9484212,60's
-0.025500601,0.45238963,-0.017202573,-1.3038776,7.551052,2.0204895,-5.1570406,3.698139,1960's
0.51782864,0.15028678,0.19898559,-0.209911,2.7486174,0.5966945,-1.8503034,0.18444422,jukebox heaven
0.5980715,0.4545993,0.4172703,0.008418804,4.0104823,0.15937126,-3.1014597,0.4374751,60s gold
0.55562603,0.6086035,0.67343104,-0.24535978,4.7800164,-0.10019818,-3.0068166,0.098912016,gh10
0.78637487,-0.59407693,-0.09714277,-0.9832349,4.2043705,-0.20971996,-1.4939042,0.38601854,radiotsar approved
-2.9620368,1.0539423,-2.5415254,-1.7919377,2.6751502,0.6193045,-7.1529093,-0.5895138,classic rock
-5.465859,2.6900055,-1.8118447,-2.4831712,2.5033822,-0.44656304,-10.824774,-1.0351346,psychedelic
-1.0644964,5.9860373,-4.6599197,-6.5905724,6.7681336,-0.44012037,-4.2254887,5.679182,blues rock
-0.57965535,0.8068185,0.19212413,-3.2837996,3.530631,-1.3360913,-3.510772,1.1722215,latin
-4.0445004,2.299879,-0.04116508,-1.0589881,4.0592456,-1.2399057,-5.437749,-0.28561276,jazz
-4.1681314,3.5334144,-2.651023,-2.110142,1.3676695,-1.0722862,-6.06289,-0.19347112,singer-songwriter
-7.448134,4.626687,-1.4799143,-3.5120087,0.04164492,-3.3619182,-7.5148873,-0.22359924,piano
-1.9304609,1.0298777,2.4608068,-2.3729825,1.0903713,1.3627979,-1.8968042,2.8858988,chill
-2.2290778,1.1730442,1.9970776,-0.44421902,0.85891956,-0.647642,-8.394532,-0.70053244,british
0.08102692,3.2597537,-0.7134755,-4.8045974,1.3143059,-1.0483526,-1.4776171,0.16341625,chillout
-6.2338567,6.2297306,0.43184957,-2.8513935,7.206741,1.3103551,-6.4406676,3.1903477,vocal jazz
-8.295072,4.890719,-1.603419,-1.1667776,6.9674788,-0.4953866,-8.363257,2.590451,jazz vocal
-3.0149038,2.2094698,2.3840714,-4.9918823,0.3445939,-2.2929466,-1.3789543,6.358296,jazzy
-2.9042025,10.909995,2.5568202,-5.949475,10.439179,3.1069822,-14.510052,-5.641442,mellow
-6.720449,1.2072926,0.18032365,-4.333484,-1.2870519,-2.4731193,-5.718413,-1.0352046,acoustic
-7.6657195,5.3585315,4.920655,-11.921671,-2.449833,-0.7809673,-4.6509314,4.4640727,relax
-3.7244499,1.789012,-3.012595,-3.5232978,4.3036976,3.5601602,-7.3124714,2.254118,vocal
-5.1703715,7.216251,2.35157,-2.2820406,5.378411,-9.175832,-5.6217823,1.1394379,nu jazz
-7.7027555,4.4849343,-4.2442884,-10.755041,0.71731406,5.04099,-8.05221,11.845616,favorites
-4.8284445,6.60542,-2.6534832,-3.8175364,5.674984,-5.6490917,-5.07447,-0.87406397,modern jazz
-3.0978532,-5.2019167,-0.59103346,-2.2018294,3.6149306,1.015903,-4.398562,2.5807364,coffee break
-4.3596845,-4.47429,0.13493352,-0.75075024,4.027497,-3.5987413,-3.0729232,4.433001,10
-2.2904108,-1.7311006,-2.4637341,-0.15569805,4.2953777,-0.16605727,-5.011981,4.583231,wonderful voice
-0.3925487,-4.860566,3.9339843,-7.332715,-0.46561542,-0.8866639,-3.2958138,5.4406624,good pop
-2.8897817,8.377185,0.5169509,-4.6415896,6.303056,-5.4228854,-3.5010774,1.3009651,contemporary jazz
