term,v0,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31,v32,v33,v34,v35,v36,v37,v38,v39,v40,v41,v42,v43,v44,v45,v46,v47,v48,v49,v50,v51,v52,v53,v54,v55,v56,v57,v58,v59,v60,v61,v62,v63,v64,v65,v66,v67,v68,v69,v70,v71,v72,v73,v74,v75,v76,v77,v78,v79,v80,v81,v82,v83,v84,v85,v86,v87,v88,v89,v90,v91,v92,v93,v94,v95,v96,v97,v98,v99
chill,0.3216469,-0.074622154,-0.19615433,-0.16044669,-0.5916154,-0.13855155,-0.49299198,-1.0727543,-0.13261613,-0.17895555,0.22729294,0.055426404,0.13515994,-0.5072648,-0.33264557,-0.24753559,-0.8114458,0.2902678,-0.0755965,0.18270345,-0.07172946,-0.0421048,0.43607256,-0.17914736,-0.6326335,0.5203508,-0.681734,-0.3992518,-0.22720945,0.21040969,-0.5370049,-0.030480124,-0.10679135,0.058898665,-0.12267163,-0.17159545,-0.64857453,0.13844325,-0.5493821,-0.28809565,-0.30475125,0.4092157,0.021210302,-0.09849109,-0.28221065,0.0071467035,-0.27718103,-0.7967964,0.49414745,-0.0072672307,-0.018254573,0.44482848,0.67676127,0.29821295,-0.4803912,-0.2186098,0.17779401,-0.20256342,0.005853285,0.09638813,-0.28667185,0.22122982,0.401854,-0.9811441,-0.35827902,-0.25703385,0.32281843,0.06865969,-0.6438396,-0.5228646,0.18699796,0.2267368,0.29570982,0.04723607,0.033762425,0.12848414,0.5580528,-0.4527401,-0.21836543,-0.28192818,0.08776175,0.04042087,-0.09054441,0.32280096,0.3903584,-0.18901692,0.5150887,0.05644922,-0.4275521,0.10153524,-0.76618093,-0.27174884,0.3632148,0.501155,1.0983852,-0.64710134,-0.4399892,-0.33929554,-0.42753717,-0.26230773
mellow,-0.17696492,0.63203716,-0.50737435,0.31450367,-0.14170231,0.28555486,0.13041571,-0.1615947,0.38782838,-0.022055438,0.05056323,-0.07053245,0.22259432,-0.034514535,-0.043976866,-0.61833185,-0.9533218,0.66138697,0.35790288,0.72340417,-0.07452929,-0.41144562,0.50103307,-0.61155987,0.123349115,0.20410176,-0.21029985,-0.8702071,-0.18853347,0.19274622,-0.5867131,-0.2316961,-0.33863443,0.047747858,0.05281783,-0.04234874,-0.8893813,0.32419395,0.08952591,-0.571167,-0.21280195,0.3561999,-0.063760206,-0.37290093,0.29219276,-0.27435988,-0.2598857,-0.13374291,1.1587464,0.2137646,-0.26215774,-0.17518814,0.8542899,-0.20467423,-0.18717377,0.47428942,0.29262358,-0.6106685,0.60876435,0.09590627,0.08349665,0.0006701104,0.012238791,-0.35142082,-0.5107826,-0.26330552,0.12698139,0.20529759,0.24849133,-0.3763397,0.4632578,-0.30607074,0.57054,-0.19885819,-0.5404411,-0.10935913,-0.5475271,-0.6380039,1.1362542,-0.017105246,-0.42957944,-0.053676017,0.18630113,0.3880209,0.8718626,-0.80172515,0.04932732,0.00029636436,0.64556134,0.9083623,0.28823575,0.33337295,0.24393961,-0.14020778,0.47054455,-0.04502917,-0.4728625,0.45268825,-0.33836046,-0.3535302
relax,-0.33283022,0.26630768,-0.09349667,-0.35420454,-0.17654094,-0.04482616,0.031995814,-0.84800977,0.23004654,0.40499952,0.39653376,0.42723122,0.40545171,-0.149841,-0.15440887,-0.90218204,-0.4077073,0.16734476,-0.2668154,0.070317894,0.048940256,0.22171558,0.116713114,0.25632903,-0.28071004,-0.24143231,-0.69454247,-0.73191065,0.14585523,0.5344159,-1.1014992,-0.44825506,0.026489858,-0.22493957,-0.2086096,-0.13446501,-0.3372259,0.2756001,-0.20953223,-0.639478,-0.14767489,-0.019879697,-0.2325552,-0.36133528,0.03818697,0.06492449,0.07716186,-0.52276397,0.38330343,-0.26873538,-0.6899191,0.40534887,0.44482988,0.3287509,0.18499254,0.12866472,0.12339904,0.14046238,0.31373376,0.2874783,-0.25399753,-0.24964432,0.10739429,-0.47528586,-0.3581742,-0.26207462,0.95896804,-0.1444764,-0.2053178,-0.6006457,0.16309841,0.095770545,0.1306965,-0.11990841,-0.57005405,-0.4282431,0.13466978,-0.25319222,-0.19094037,-0.25734803,0.22784698,-0.1602245,0.2022848,0.37878737,0.12273985,-0.59219027,0.89312077,-0.07661732,-0.7830003,-0.49137434,-0.39754638,0.51221013,-0.08175135,-0.13055947,0.071541294,0.12755996,0.22982284,0.07214215,-1.0207644,-0.2440542
upbeat,0.26493937,0.3728682,-0.5708868,-0.73305553,-0.123799585,0.6065557,-0.04030159,-0.6048739,-0.08412022,-0.35153183,-0.51113427,0.9775982,0.2140333,-0.03693011,-0.120553605,-0.9001924,-0.3309124,0.055709492,-0.097859204,0.25305083,-0.18311827,0.121802956,-0.747609,-0.4633108,-0.167413,0.083515204,0.21664721,-0.4718571,0.24180534,0.30762467,0.13589047,0.27928993,-0.2495874,-0.14353038,-0.43658915,-0.27326864,-1.0776616,-0.148451,-0.5902359,-0.13656078,-0.3000278,0.713016,-0.66261286,0.061485313,-0.038118016,-0.26973116,-0.1484122,-1.1134913,0.042538583,0.46736288,0.29376423,0.49899182,0.9807488,0.23514047,0.06279327,0.11829184,-0.023207536,-0.6590981,-0.1766963,-0.20329145,-0.3294524,-0.41296205,0.58036643,-0.46012846,-0.09336059,0.43110004,0.39327058,-0.11887947,0.10923796,-0.16573721,-0.12235914,-0.26303446,-0.19414535,-0.4189361,-0.018352294,-0.056094162,0.39334425,-0.3721697,0.19073948,-0.1603674,0.32026517,-0.3545137,-0.22709733,0.36772552,0.14519969,-0.30327797,0.13484325,-0.33531928,0.59069765,0.4524227,-0.31505248,0.24562682,-0.28061008,0.12801135,0.28893042,0.019661518,0.27559364,0.6633567,-0.28159273,-0.58779746
smooth,0.048957925,0.23655345,-0.48389482,-0.3890561,-0.27433026,0.26826867,-0.5870878,-0.59109783,-0.13278244,0.6870371,-0.14602685,-0.024132643,0.31637314,-0.25044245,-0.2759657,-0.6312707,-0.6071723,-0.87689865,-0.6526395,0.39760342,0.6480156,-0.72546595,0.36122924,0.018557638,-0.2504858,0.36692554,-0.16808009,-0.70448095,0.28725845,-0.12496754,-0.4604012,-0.2675485,-0.20040211,-0.40304857,0.19551124,-0.0761013,-0.64650184,0.06802089,-0.27440965,-0.6135352,0.2660451,1.1621126,0.06940122,-0.43849224,0.25667283,-0.46059483,0.41849923,-0.2040687,0.72961235,-0.11733482,-0.6522018,0.7109169,0.7535339,0.50226945,0.15236889,-0.18403642,-0.11686171,-0.60254735,0.8858454,-0.0049855397,-0.46948373,0.4100645,0.9767888,0.4183549,-0.33987045,-0.4118547,0.74218917,-0.2134774,-0.42620975,0.11042874,0.24135713,0.2726258,-0.15144521,-0.7565298,-0.59139884,0.32590705,0.23065029,0.10387867,0.8625658,0.13221616,0.9339847,0.7866555,0.24710831,0.64044356,0.76174694,-0.6614354,0.85872483,0.03897202,0.19214183,0.16027668,0.09592215,0.2594708,-0.2334557,-0.37284148,0.34007663,-0.18429731,-0.46122354,-0.10689185,-0.5900004,0.94183445
sleep,-0.37068647,0.49485338,0.07866319,-0.041050207,0.8109131,0.55260676,-0.5139688,-0.32033184,-0.03096635,0.07155666,0.26875654,0.37292546,0.28695014,-0.5114739,-0.3297579,-0.15161279,-0.8422956,0.62676215,-0.24218331,0.46864656,-0.3889261,0.5312383,-0.2069594,-0.45918545,0.16023734,-0.35987392,-0.31463334,0.07520332,-0.8598425,0.24465074,-0.65002996,-0.6998043,-0.40256125,-0.42624718,-0.25622624,0.5853454,-0.027856601,0.8431917,-0.412091,-0.74242014,-0.037244532,-0.14013071,0.08389006,-1.053795,0.054020796,-0.9052753,-0.135206,-0.70478404,0.68433136,-0.42529982,-0.055328224,0.229333,-0.33060962,0.15150853,-0.15104863,-0.33818898,-0.16661714,-1.1204927,0.3124403,0.5616277,0.34135595,0.013308594,-0.40719247,-0.08707376,-1.1909562,-1.025567,0.3794394,-0.1642568,-0.829188,-0.035772055,0.115790196,0.10107663,-0.00065037067,-0.12829,-0.4268164,0.17596553,0.74583375,-0.37086773,0.35640737,-0.035834655,0.61895317,0.10184489,0.24471895,0.86154234,0.32118472,-0.2679622,0.7018367,0.39511418,-0.021173073,0.23420446,-0.32249707,1.0937406,-0.3214374,0.45087954,0.94342756,-0.13798366,0.767671,0.83345276,0.39144406,-0.7245405
sexy,-0.1603887,0.7570159,-0.41916168,-0.33619362,-0.17429468,0.14089109,-0.5165971,-0.23279375,0.19943143,-0.027548954,0.31910467,-0.2420843,0.2583442,-0.89092875,0.034455325,-0.6845109,-0.89520353,-0.8351037,-0.39568096,0.3495641,0.1775927,-0.04408077,-0.41020778,-0.6985911,-0.3506623,0.5371625,-0.028365659,-0.47126403,0.059708565,-0.5770054,-0.098203614,-0.11172636,0.09031286,-0.018388532,-0.32072014,-0.0270867,-0.5133769,-0.27657884,-0.32900825,-0.679562,0.07479879,0.12188142,-0.028784972,-0.41711414,0.47289893,-0.170703,0.0846091,-0.6984636,-0.1274541,-0.93681043,-1.0241538,0.5362817,0.4443185,0.18633914,-0.44028738,0.16218574,0.5215801,-0.18370737,0.21088949,-0.47351164,-0.17888968,0.39594582,0.33673137,0.2651195,-0.027940989,0.03389801,0.53533375,-0.001005331,-0.17979708,-0.46165973,0.31113645,0.1455713,0.27792454,-0.4012355,-0.15128362,0.05550037,-0.69778574,-0.5987015,-0.045687623,-0.27322885,-0.007476048,0.2922378,-0.08376411,0.65300596,0.7996571,-0.46021563,-0.2918818,0.63997227,0.53079045,-0.004919579,-0.19000053,-0.5059094,-0.39867017,0.74624294,0.48757246,0.11814991,0.31094036,-0.13539648,-0.3622331,0.030554865
happy,0.21619739,0.19883975,-0.17717902,-1.267859,0.9063187,0.3287629,0.020689383,-0.24763836,0.24160692,-0.5660883,0.26636097,0.46201342,0.21518074,-0.038780283,-0.35236418,-0.2327917,-0.60778934,0.7481894,-0.38286322,-0.06287863,0.0358909,0.005599182,-0.4291538,-0.4841159,-0.46582896,-0.20661749,0.12980601,-0.74602145,-0.1509243,0.14877018,0.044998024,-0.30800942,0.43215138,-0.7711602,-0.4833083,-0.604653,-1.2040143,0.018535186,-0.41821665,-0.9473772,-0.09974437,1.040096,-0.42846033,-0.7101961,0.20217806,-0.4461036,-0.6674194,-0.48839378,0.31231293,-0.15394162,0.28679684,0.3495087,0.5994534,-0.35176098,-0.9171917,-0.57130915,-0.24780214,-0.4987845,0.16768487,0.492981,0.2119839,-0.029794186,0.13111822,-0.3071189,-0.541609,0.22609061,0.5764254,0.30590618,0.34739676,0.24065264,-0.011921465,-0.35424784,0.63027847,-0.10385917,-0.15284687,0.26540262,0.42401603,0.33943662,0.14065306,0.122172624,0.0018304671,-0.26031315,-0.23418388,0.52624,0.30309027,-0.008812239,0.21708642,-0.9359821,0.017641073,0.55476445,0.05558752,-0.2100228,0.24447419,0.03876289,0.21071957,0.73197114,0.33051777,0.05138819,-0.82808155,-0.0021266725
party,-0.2928557,0.1945887,-0.94748837,0.5187126,-0.087294154,0.32992965,0.27328345,-0.037034422,-0.29627725,-0.22425054,0.004928979,0.1600007,0.3598232,-0.66850156,-0.26710817,-0.47202975,-0.9882228,0.54883486,0.25264633,-0.4612641,0.21228331,0.5044964,-0.11924805,0.52398396,-0.8104331,0.24411196,0.06400545,-0.40592366,0.21211948,0.018234039,-0.3458694,-0.67289734,0.93653417,0.13786967,-0.39825198,-0.13136086,-0.5456215,-0.38542044,-0.5466963,-0.28418714,0.2930428,1.1437454,-0.23634364,0.29294828,0.32251972,-0.31601372,-0.024594363,-0.81709665,0.3517577,-0.6364173,0.030395288,0.53967553,0.2440125,-0.44548708,0.16617687,-0.026637636,0.18437997,0.01638494,-0.35405353,-0.893606,-0.31977057,0.16049573,0.47434112,-0.37377197,0.4646668,0.28866407,0.4003117,0.278032,0.69497055,-0.36995283,0.2425433,-0.5083195,0.5888513,0.019986354,-0.31661177,0.554733,-0.6044667,-0.40820983,0.3464235,-0.23727275,0.745618,0.32799587,0.72904587,-0.20573375,0.4266276,-0.15139084,0.111702055,-0.3534845,0.2858418,0.32934344,0.2637798,0.13656597,0.22452809,0.27769765,0.4215697,0.83810294,-0.34643155,0.46297532,-0.41816443,-0.89693207
moody,0.20990719,0.8725571,0.7904168,0.20996821,-1.2882335,0.5590189,0.044487886,-0.8141287,-0.121527314,-0.5527916,0.26025528,0.070265025,0.060234483,-0.74178743,-0.08410494,0.14426793,-0.42851442,0.46785784,-0.0015123363,-0.17955662,0.005991653,0.48444542,-0.76205057,-0.9234651,-0.85155165,-0.40077314,-0.14138421,-0.3915674,0.058344204,0.30785456,-0.43504313,-0.25092196,-0.26287365,0.025993852,-0.04726989,0.4684939,-0.20550542,0.10935388,-0.29974008,-0.022397285,0.04089476,0.4212645,-0.2735674,-0.28450793,0.1627173,-0.45803338,-0.15023515,-1.1375232,0.48042315,-0.24643518,0.0836698,0.12623101,0.73970467,0.41447076,0.0075641177,-0.12316806,0.08558741,-0.4490375,0.20822665,0.48740652,0.27197677,0.31349447,0.84435475,-0.34722456,-0.2967738,0.43319905,0.27463952,-0.0014786371,-0.30411196,-0.94580525,0.39643043,0.10445397,0.25163612,0.033693384,-0.2224809,-0.11569823,-0.0293033,-0.4444416,0.24141847,-0.5303222,0.18651836,0.5604266,0.61556804,-0.12024816,0.43000793,-1.1079236,0.9270487,0.20398799,0.021930711,-0.31452277,-0.3889048,0.6765023,-0.39214674,0.41851684,-0.07942282,0.3228938,-0.0060106376,0.11492913,-0.079594865,-0.061455194
