term,v0,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31,v32,v33,v34,v35,v36,v37,v38,v39,v40,v41,v42,v43,v44,v45,v46,v47,v48,v49,v50,v51,v52,v53,v54,v55,v56,v57,v58,v59,v60,v61,v62,v63,v64,v65,v66,v67,v68,v69,v70,v71,v72,v73,v74,v75,v76,v77,v78,v79,v80,v81,v82,v83,v84,v85,v86,v87,v88,v89,v90,v91,v92,v93,v94,v95,v96,v97,v98,v99,v100,v101,v102,v103,v104,v105,v106,v107,v108,v109,v110,v111,v112,v113,v114,v115,v116,v117,v118,v119,v120,v121,v122,v123,v124,v125,v126,v127,v128,v129,v130,v131,v132,v133,v134,v135,v136,v137,v138,v139,v140,v141,v142,v143,v144,v145,v146,v147,v148,v149
chill,-0.20692924,-0.9347146,0.06228974,-1.4950792,0.8657271,-1.7334288,0.3470223,-0.5222739,1.0452617,0.59691465,0.14638554,0.13039605,1.0080829,0.71996224,1.9100773,0.49801707,-1.03959,-0.5296569,1.2523994,0.636888,0.052739855,-0.94819057,-1.9652756,0.7661368,-0.8681851,-0.16984266,0.4091785,-1.4462776,-0.48820078,0.56763214,0.37740073,0.3048363,-0.8006127,0.0102395965,0.65579724,-0.12104507,-0.4962008,0.17479609,1.773104,1.7188094,0.57479125,-1.2819248,1.5415919,-2.1127775,0.94117653,-0.3857715,1.9951488,0.4865464,0.28248036,0.14718731,1.8101768,-0.63945353,-0.85285026,-0.9657635,-1.7650689,0.67799485,-0.42397574,0.09111657,1.9964149,1.2947984,-0.409804,0.65599394,-0.1380345,0.014502612,0.040972408,-0.6368069,0.88142794,-0.02253725,0.4993302,1.8661512,-0.4466746,0.5735911,0.54826504,-0.50326186,-0.2634269,0.09763523,0.022893628,0.3302408,0.16195713,-1.3526739,-0.60367656,-1.0282385,-0.49469596,-0.2770256,-0.5384973,-0.15428181,1.4151145,-1.2689164,-1.3536241,-1.2636713,0.10597838,-0.4949825,-0.46020555,-0.5310709,0.30952474,-0.6381773,-0.80888486,0.20131963,-0.34271613,-0.2120697,-1.4439229,1.9012119,0.73037416,-3.3632073,0.35603756,0.77228117,-0.29468387,0.98669815,-1.3257465,0.7948139,0.12092874,0.45037276,0.18772033,-0.48267338,0.08122055,-1.8739649,-1.3369168,-0.7481051,0.71204543,-0.6252722,-0.38210145,0.33614704,-0.4504546,0.5129834,-0.44705868,-0.6085991,-1.067749,0.44407344,-1.608026,-1.3079137,-2.1425476,-0.08154384,0.6513727,-0.0629967,1.4766648,0.5092269,-0.28375268,-0.069743715,2.2426655,1.8688982,2.128471,-0.40769354,0.47192985,1.1420857,-0.26350403,0.3491345,1.1944518,1.7891141,1.5654017,0.28629506
mellow,-0.03555352,-0.6201892,0.38628888,0.5719472,0.92915946,0.0151913725,1.3381711,0.064724445,1.0125048,0.45266253,-0.2563091,-1.4556038,0.7448757,1.3331407,1.8912147,-0.5770288,1.1115661,-1.0383697,-0.3181936,-0.18255869,0.8074197,-0.682486,0.2091673,1.0392914,-0.28554896,1.0296539,-1.5822495,-0.19355936,1.5331048,0.46106082,0.726429,0.07419961,-0.33795428,-1.3999417,0.54585296,0.25432658,-2.0148923,-0.85125554,1.1109856,0.66871744,0.11579164,-1.4958172,2.4974062,-1.4906617,-0.1605443,-1.4220537,1.8975466,1.0386025,0.832274,-0.5542426,2.406087,-0.24111329,-1.5645826,-0.10801329,-0.34484965,-0.4557249,0.35627007,-0.09243903,0.5668614,1.5436422,0.56956846,0.6512358,0.28714883,-0.18621397,0.034825843,-0.6461403,1.2554301,0.8023652,1.6042454,1.7279541,0.74528265,1.0465605,-0.09642254,0.06462903,0.58858913,-0.9563624,0.51198125,1.6143074,-0.87063813,-0.52089626,-0.27661616,-0.9730505,0.48216218,-0.040565394,-0.7153156,-1.3959057,1.0174785,-0.683605,0.04872376,-1.6048354,0.6470135,-1.0924999,-1.5592004,1.069272,0.5866474,0.8062129,-0.67479765,-0.24202974,-1.027973,0.3372328,-0.628376,-0.16111442,0.70228153,-3.0254838,-0.75428545,0.8722778,-0.34333608,0.51695883,-1.1117917,1.7778379,-0.6601712,-0.18717475,-0.82767504,-0.8428777,1.0041873,0.054410245,-0.7526901,-0.6475374,-0.14086288,1.0229788,-0.44565073,0.6103682,-0.40693322,-1.0346242,-1.815134,-0.07844456,-0.8936328,1.8034326,-1.5691183,-2.5127919,-1.1782889,0.14004625,0.7315206,-0.16153868,1.8626782,0.5826972,2.2729003,-0.07399479,1.4305863,0.05267719,0.6205695,0.40898877,-1.0306561,0.87490076,-0.19909985,0.78065753,0.84884876,0.72444636,-0.71704173,1.8519925
relax,-1.2319591,0.29592857,0.18923207,1.0987134,0.48375863,-1.3380504,0.78831726,1.2974594,0.7776745,1.0564281,1.3043141,1.0013813,0.16666277,2.057603,1.4874668,0.06058101,-1.0867167,-1.874163,-0.26086983,0.97135186,-0.9220258,-0.24761558,-1.0104105,1.4954249,0.09530872,0.84109235,-1.2822202,-0.3063367,-2.0290956,1.666609,0.95599145,-0.8503462,-0.84465843,-0.8917152,-1.2043514,-0.6931018,-1.6609557,0.38584444,1.1487863,-0.04030201,1.7249262,-1.6696297,1.8949004,-1.356717,0.30211934,-2.3579645,0.51156616,0.9629797,0.036573645,-0.3473723,1.6386564,-0.14797334,-0.35014606,0.19851694,0.43714267,-0.31708097,-0.94215614,2.656661,2.0566628,1.8692929,0.8058161,0.016239328,0.2778967,-2.0458713,0.0016180661,-0.20925781,1.6251104,0.55240947,0.25220567,1.8679667,1.2704601,0.9628912,1.6269451,0.6007357,0.2768188,0.11428209,1.4937539,0.6906712,-0.80806476,-0.39023086,-0.42026433,-2.2843623,1.2103721,-0.71405965,-1.0398885,-0.14635886,0.13620716,-0.032709602,-1.0312232,-0.41361952,1.1325101,0.81994015,-1.455032,1.1941456,1.2484852,-0.24445643,-0.8575219,0.44363216,-0.8204205,0.059746478,-0.62884367,1.6863457,1.0249882,-2.4621036,-0.3305964,0.20518167,-2.0284457,-1.2080891,-1.7009785,1.9487863,0.40288,-0.14248188,-1.1715134,0.79686964,1.825724,-1.9590415,-2.9105682,-0.45778975,-1.0860883,-1.0570803,0.11859084,1.641877,-0.75824875,0.93186116,-0.6362355,1.7680379,-2.091329,0.8071235,-2.0785625,-2.4263217,-0.18728969,0.33686844,2.7886996,1.0561848,1.6430652,-0.8144284,0.50145143,0.2042425,1.5301292,-0.792565,0.23590724,0.2551733,-1.3212394,1.5736692,-0.909533,-0.8427056,-0.8940651,-0.44245243,-0.44090283,1.42401
upbeat,-1.0642477,-1.3282566,0.8606172,0.6231329,0.69127756,-0.05339498,1.8564606,-1.0876473,2.4474552,2.6317513,-0.17066017,-1.3811904,0.01115049,1.4074701,1.1443148,0.017156148,-0.7138951,-2.0669076,1.1236123,0.5920811,-0.4677138,-0.83149165,-0.3036379,1.5833964,-0.4379589,-0.32657763,-0.07157595,-0.2747353,-0.9554363,-0.51765764,1.5694883,0.64227974,-0.66028965,-0.25872043,0.9623438,1.1318227,-1.994484,0.059798215,-0.3766698,1.1108881,0.26939335,-1.3739216,2.890601,-1.1551235,-0.2645518,-2.0565317,2.8668282,-1.3126903,1.5808952,0.21717705,2.1696515,-1.3752198,-0.49581203,-2.134945,-1.5651782,0.15083311,-1.0845573,-1.0153756,-0.42975494,0.9898331,0.28298694,0.8102313,-0.086459205,0.8287574,-0.45836347,-0.25724632,0.15927488,1.4337496,0.17209674,1.1915954,0.5605537,2.6195912,0.5362458,-0.27770644,-0.49076423,-1.254847,0.49176514,-0.7922336,-1.6538469,0.18465564,0.13974647,-1.7007481,0.49218038,-0.32355958,0.03140371,-0.6736209,0.29846752,2.3133683,-0.83041275,-0.89569765,0.4654494,-0.8429798,-1.6049018,1.4296262,1.3681138,1.5125567,1.0054706,1.051507,-1.1393108,-1.1447566,-0.6953039,1.3364499,-0.3570825,-2.347971,-1.2619526,0.33445716,-2.3666182,0.23711672,-1.4066595,1.034625,-0.5451838,1.7246498,1.1387424,0.2610579,0.9402069,-0.27545118,-1.6078905,-1.3585637,1.7039268,-0.32058966,-0.2076973,0.25632283,-0.70460945,0.11752175,-0.5122007,1.7607925,-1.3918523,1.6311244,-2.0049942,-0.35934934,-0.7777727,-0.43648517,1.4750875,-1.1213828,1.6729289,-1.0156609,-0.6854739,-0.85761535,-0.035311613,-0.6317563,0.82676303,0.547822,-0.50142884,0.49826628,-0.705042,-0.032251168,1.3096954,0.8208207,0.53064996,0.76125073
smooth,-0.8249566,-0.5712023,0.5500646,-1.4543276,1.9463377,-0.30966267,2.6581364,0.6607725,2.4500723,0.86458105,1.1407224,-0.8229162,1.0877008,0.2995301,1.729327,-0.54487544,0.5588781,-1.43258,-0.24403155,0.4100106,-0.03904962,-0.6806597,-0.6940692,1.3816639,0.9702478,0.045285206,-1.2458159,-0.09535379,-0.6408946,0.8433498,0.13895702,0.39513057,-0.54203117,-0.5893663,0.5015311,0.9207879,-0.46132457,1.3461586,0.80620795,0.44864726,-0.14259104,-0.91202027,1.738677,-0.29362875,0.60711074,-1.536395,1.1257046,0.5169209,-0.4278554,-0.73191226,1.5297427,-1.6499794,-0.69758946,-0.13606584,-1.1459721,-0.67065984,-0.44235092,-0.0143695325,-0.45912984,0.8623915,0.8971614,-0.32999316,-0.093909755,-1.052358,-0.11629725,-0.7151015,-0.29421252,1.4648308,0.82373834,0.8750874,0.6013796,1.5333569,1.8473604,-0.039881684,0.44329783,0.305875,0.54272103,0.62399393,-0.34051445,-1.2529685,0.5628285,-0.8105286,-0.21257778,-1.1599613,-0.057155456,-1.4830488,0.79579586,1.0096031,-0.7807137,-0.8277304,1.138682,-0.36835417,-1.2728152,1.027374,-0.44841373,-0.9778247,-0.16639394,1.0575432,-0.8380244,0.7050999,-2.4436758,1.2470889,0.49166948,-1.0370123,-0.11250082,0.1498137,-0.7222857,0.9493399,-2.2615354,1.6026468,0.26886034,-0.16897197,-0.4615801,-0.9469892,0.36033973,-0.2467878,-0.40373057,-2.1967642,0.6166515,-0.5133568,-0.6749295,0.4820566,0.61405253,1.5060192,-0.27250138,0.6844499,-2.1106033,1.6192242,-2.4535673,-1.9490998,1.0779265,0.17820743,1.685241,0.9968803,0.91531456,0.04967848,0.9642112,-0.18583989,0.25804114,0.21628065,1.9218358,-0.7654282,0.020387873,0.91210353,0.12769324,-1.3820348,0.6968839,0.65692616,0.6710877,1.9825397
sleep,0.17405161,-0.8535401,-1.5580745,1.3569328,0.7173675,0.7408793,0.83164215,-0.13763697,0.75873494,0.8301666,0.5174543,-1.013456,1.5213143,2.0604267,1.3889484,-0.922498,0.62007976,-1.8553766,0.46908438,0.58816844,-0.14331679,-1.8208272,0.37873027,2.596522,0.06508096,2.704196,-0.25525686,1.0453308,1.378007,0.4725898,0.5606191,-0.42589784,-0.05635474,-0.6078558,-0.08102734,0.635333,-1.0400748,1.3111571,-0.1802913,0.53966993,1.2112138,-0.41301662,1.2667427,-0.8834693,-1.4014812,-0.85788995,1.7116064,1.6858371,-0.55458647,-0.8127037,2.4429646,-1.5528165,-0.38727447,-0.06636638,-2.1759245,-0.19694643,0.10031096,-0.28300765,-0.21134417,1.3348975,-0.46217796,0.5804421,-0.13449825,-2.2388928,-0.21022063,-0.68128264,1.0450628,1.97358,0.9337104,1.2227665,0.86205596,1.1103815,0.3500478,-1.5923254,0.40583646,-0.5082332,0.6139886,-0.5709884,-1.3634789,0.40257344,0.2634806,-2.5277498,0.606993,1.8745375,0.7293098,-0.5946589,0.37253985,-1.1100308,-0.5973451,-0.0024973275,0.98595285,-0.9780076,-0.7529294,0.45222872,2.7498367,-0.6075768,-0.66203624,0.10697604,-1.170337,0.33101353,-1.2087532,0.577587,1.1629833,-2.6349666,-0.14812337,-0.06397546,0.14169192,1.1460975,-1.3593407,0.4007166,1.9601349,-0.6620207,0.6492777,-0.9085784,0.7639579,-0.51836026,-3.1633341,-1.0054184,0.56025505,-0.4072478,0.10958827,0.13048886,0.07526019,0.40821496,0.0664945,0.9412631,-1.5891747,2.1658263,-3.9625418,-1.030238,-0.3277463,-0.3256936,0.34335732,0.5364979,1.2709318,0.13356538,0.85044825,0.3052895,1.797983,0.8939131,0.44938588,0.6762608,-1.7549266,0.2675463,-2.0096908,-0.2742139,0.7748775,-0.85368973,2.338497,1.4398307
sexy,-0.57994354,-0.43982026,0.11381158,0.7027548,0.7866964,-0.4835302,0.53771734,1.0515132,1.245661,0.14766358,0.49405307,0.084350206,1.3105615,0.70183206,1.5970591,-0.083958626,-0.06272088,-1.1862131,-1.2550728,-0.2835077,0.76608545,-1.0796314,0.10482203,0.6248199,1.8000835,0.69064283,-0.050105657,1.3282576,-0.1909303,-1.2445226,-0.6049335,-0.88222754,-0.2641215,-1.2840713,0.064281456,0.36128825,0.6138303,1.8636055,1.1473988,1.302504,0.92039335,-1.0873008,3.0263197,-0.71903557,0.8595241,-0.8413472,-0.14976653,0.26151037,0.25722688,-0.49834448,1.8932564,-2.2186418,-0.38939843,-0.99712867,-1.7832514,0.8309219,-0.22035848,0.015312665,-0.8437995,1.1012838,0.11855119,-1.1269339,0.8060961,-1.1851447,-1.1968123,-1.1103872,0.072104804,-0.09907981,0.7776677,0.84673584,1.5407968,0.98739284,0.43476823,1.0187926,0.1255769,-1.2916459,0.0073249796,0.4784071,-0.1602281,-0.4356278,0.041591153,-0.46711743,1.501805,0.63811845,-1.3011222,0.17151943,1.1474019,0.9921794,0.9751377,-0.49026036,0.49601814,-1.2617592,-0.8604834,0.84871185,1.1186924,-1.2475679,0.0943086,0.3578253,-0.46166283,0.79776955,-1.2039956,0.68838984,-0.35622835,-3.0112462,-0.034223046,1.4954832,-0.59211695,0.94523466,-1.0133616,1.5137058,0.30817205,-0.4270338,-0.3154655,0.9000706,0.7965244,-1.3499997,-2.9853556,-1.3531735,0.5442116,0.76524895,-1.1540138,1.0052861,0.737126,-0.2064512,-1.40698,0.6365767,-0.789092,0.73489904,-1.2106491,-1.0426496,-1.38211,0.5124911,0.8427252,-0.30633417,0.89923775,0.18054037,1.1171995,-0.023227857,2.4549499,0.75770164,-0.487407,0.5901857,-0.354892,0.65357035,0.47280192,0.56306446,0.743784,0.6754907,0.5092823,1.7271445
happy,0.23449288,-0.5813238,0.97572803,-1.0395348,0.50673515,-0.5567703,1.179007,0.712268,2.4934058,-0.4547999,-0.7392547,0.48051682,-0.046084646,0.6513869,1.1072395,-0.029759336,0.09438935,-1.3114485,-0.35822344,0.76276594,-0.89291054,-2.5846417,-1.0672221,2.3333178,0.50272435,-0.4991877,-0.35201925,-0.0012489802,0.96365976,2.328438,0.0365067,-0.17220666,-0.6616349,1.1798948,1.3191978,-0.41739494,-0.7436221,0.335395,0.8928913,0.28456807,0.12790787,-0.65303993,1.1851935,-0.45892984,-0.35337406,-1.1566291,0.73870325,-0.25586376,-0.9459955,-0.54160225,1.1805439,-0.57479745,-0.6860522,-0.73845357,-1.2579509,-0.8093513,-1.1657792,0.006553253,0.5445702,0.9249604,-0.032305006,0.0005723607,0.17730731,0.38349605,-1.3784242,-0.8175478,0.6019913,0.93316984,1.7474376,2.365582,0.3116548,1.5643116,1.4765332,-0.32980525,0.07490765,-0.5668407,1.0986333,-0.89128834,-1.1139023,-2.3935394,-0.91732347,-2.0732274,1.1973253,1.1193438,0.8144719,-1.1964647,0.6091159,0.53679293,-0.7382837,-1.1559609,-0.20305768,-0.62201333,-0.462624,0.551809,0.96922606,-0.31278086,0.758705,0.5741815,-0.8844813,0.29464126,-1.3023115,0.30828956,0.52975005,-2.322163,-0.40916938,0.44391006,-0.069827996,0.65934706,-1.259071,0.58905035,0.5169101,0.6953004,-0.3122878,-0.24802826,0.7612134,-0.98504835,-1.3001871,-0.51689273,0.34720093,-0.708011,-0.56906563,0.5559448,-1.6402549,1.0749519,-0.010391506,-0.2276218,-0.809907,0.9523249,-1.6138303,-2.419644,-0.45593345,0.73704743,1.182396,-0.32491174,1.7400333,1.3762475,0.028954517,-0.9798559,1.1293766,-0.33431235,0.59008634,0.3938634,0.26255742,1.0011352,0.34392247,0.4674498,1.0138242,0.7952877,-0.6715229,1.1242988
party,-1.5193478,0.38280785,1.4240135,-0.41042802,0.86108714,-0.24550822,0.54889506,-0.02193567,1.8596758,-0.45198706,0.5096452,-0.95972526,0.51551807,1.0370377,0.79873097,0.4530329,0.91658884,-1.4544632,-0.21171486,-0.058977373,0.103815876,-1.0163558,-0.49219072,1.0780243,-0.5418211,-0.52837133,0.29429293,0.49532557,-0.07043872,1.1038108,0.38114816,0.79725975,0.22624925,0.5368398,-0.013564139,-0.11582301,0.37560406,-0.8385442,-0.030720718,1.2760433,1.2852801,-1.3274542,1.2732598,0.3899992,0.8624278,0.9285906,2.0418904,-1.0656857,-0.57283294,-0.5629615,0.505955,-1.3957535,-1.039145,-0.31297308,-1.1233625,0.6433304,-1.3124332,-0.43206808,1.6210877,0.585187,0.3738002,-0.105540626,0.47816142,-0.56841743,0.3371041,0.122622244,0.8025773,-0.00078417535,0.7704766,1.3320525,0.4886943,0.63382864,0.63312465,0.30116707,-0.06493166,-0.6822816,0.62320596,0.21436444,-0.6101018,-0.48066306,0.88968176,-0.19512582,0.5402654,0.33246437,-2.0487633,-0.86297524,1.3300427,0.0874534,-1.3745583,-0.41827872,-0.12901467,0.47244877,-0.55267537,0.27164468,0.098845616,0.2280332,-1.2327708,0.06284056,-2.0433543,0.10323086,-0.48728204,0.5951781,0.7529726,-2.4741921,-0.09464923,-0.21100466,-0.36365297,0.13523273,-1.6070368,1.238638,0.81743985,0.15921521,-0.22210038,0.54108614,0.789389,-0.8119178,-0.8963239,-1.0534117,0.9294765,-0.018852232,-0.56500924,0.6603216,-0.8057305,-0.017033553,-0.30919558,1.5038519,-1.319682,1.1443362,-1.5450712,-0.6490177,0.03808068,-0.50344425,0.8554134,0.07148006,0.04286659,1.574906,-0.4673115,-0.034769226,0.38554645,-0.9288591,0.41414478,-1.3337424,0.6134972,-0.26483917,0.08212622,-0.86411554,2.0263138,0.24761899,-0.57908803,1.3805279
moody,-1.2926464,0.16073473,-0.75889474,0.40680185,-0.015321018,-0.33920518,-0.19569908,0.7174924,2.2077742,1.5466455,1.9825277,-1.1553742,2.018518,2.3256238,1.9646997,-0.27182212,0.96516055,-0.7392421,0.049016867,-0.62263465,-0.38945588,-0.13075012,-0.6707913,0.8673282,0.032937944,-1.3762728,-0.5168074,0.40442455,-0.07708882,1.266056,1.0367992,-0.5539413,-0.52500427,1.0061895,0.9568176,1.336815,-0.047123373,0.85819113,0.2304028,0.7594728,-0.6421476,-0.96799487,1.4284235,0.090682335,0.71180576,-1.2486349,1.5449702,-1.0909115,1.175645,-1.0512872,2.351006,-1.5400783,-1.9790165,-0.53944147,-2.409788,-0.72717315,-0.7367397,-0.5622658,-0.76355374,1.4850106,0.17110123,0.79102963,-0.81519115,-1.0220915,-0.05128616,0.09093502,1.7948833,0.4645667,0.6664687,1.2498491,-0.18251598,1.8417699,2.0399108,0.993836,0.91691643,0.8401702,-0.3384803,-0.6430654,0.7623308,-0.3646551,0.55750185,-0.960774,-0.33860123,0.27455038,-0.23053953,0.07699368,0.77393794,-0.6180446,-2.3362105,0.12383439,0.6129798,-0.0744942,0.7269137,1.8610975,1.2935,-1.9557902,-0.34311584,1.0908513,-1.3376545,0.05388191,-0.96808714,0.81176615,1.3177184,-3.9968514,0.09488858,0.22110865,-0.25112078,1.2975768,-0.8646347,1.7316322,-1.0584135,0.6052145,1.2268914,0.17640115,0.5707136,-1.7564454,-1.540549,0.2170167,-1.093771,-1.0294813,-2.1134202,-0.05935039,-0.07397805,1.6181406,-0.27774152,0.24481302,-1.2664471,2.1377509,-1.5555917,-3.396325,0.8370345,1.4154756,1.3036801,0.8913202,2.2194605,0.63678527,0.56421214,0.75508654,1.1642479,0.16118695,0.62250227,-0.30752957,0.3100603,1.2667738,0.82114315,-0.7448966,-0.13671623,0.49964577,-1.1885831,1.2073487
