term,v0,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31,v32,v33,v34,v35,v36,v37,v38,v39,v40,v41,v42,v43,v44,v45,v46,v47,v48,v49,v50,v51,v52,v53,v54,v55,v56,v57,v58,v59,v60,v61,v62,v63,v64,v65,v66,v67,v68,v69,v70,v71,v72,v73,v74,v75,v76,v77,v78,v79,v80,v81,v82,v83,v84,v85,v86,v87,v88,v89,v90,v91,v92,v93,v94,v95,v96,v97,v98,v99,v100,v101,v102,v103,v104,v105,v106,v107,v108,v109,v110,v111,v112,v113,v114,v115,v116,v117,v118,v119,v120,v121,v122,v123,v124,v125,v126,v127,v128,v129,v130,v131,v132,v133,v134,v135,v136,v137,v138,v139,v140,v141,v142,v143,v144,v145,v146,v147,v148,v149
chill,-0.11509277,-0.32334524,0.40261698,-0.06329948,-1.1231009,0.9523797,-0.26012397,-0.24355717,0.19733866,1.303972,-0.091354735,1.1656219,0.9482356,0.909526,1.7832788,0.41324776,0.24121714,0.14557846,0.22601981,-1.4980025,-0.7862852,-0.93240726,-0.9590682,-1.0989741,-1.1192485,2.6547096,-0.031216301,0.53440577,0.50684464,1.1472436,0.07742007,0.5845327,-1.7177229,1.2823027,-0.36699528,-0.7409757,1.2870498,0.05681659,0.38932592,-0.32567167,-0.7670949,-0.17958462,0.25584513,-0.13539925,0.6905181,1.3737118,-1.154151,-0.5198629,0.971857,-2.186065,-0.15994282,1.2955848,-0.35374787,-0.43632534,-0.40025285,0.16425948,-0.82319194,-0.5573635,1.8607689,0.044551972,-0.37472335,0.8281301,1.9485614,0.3549864,-1.2502663,-1.0541109,1.6753889,-0.022284163,0.12801477,-0.8636002,-0.8957423,-0.8398581,0.41348624,-0.28799465,0.093503304,-0.317231,-1.855452,-1.0223131,-1.0251317,-0.46511212,-2.602556,0.03288932,0.058954448,0.99934405,-0.8554986,0.076784864,-0.31710887,0.43238235,0.25679648,0.840704,-0.70952225,0.5492016,0.6996654,-1.2380863,1.9241282,1.5311432,-1.7124994,0.16440834,0.24418442,0.82669,-1.8910656,-0.031745683,1.3391799,1.8900576,-0.4195408,-0.3763596,-0.1928451,0.63176584,-0.3124552,0.7555328,0.38608316,0.46873745,0.19716497,1.3364239,-1.4454535,-1.000615,0.36162934,0.36022744,-0.26468766,-0.0068328464,-1.2674892,-1.3507713,0.585274,-1.0381387,-0.5564053,0.3414934,1.5751901,1.640579,-0.051312547,-1.4915394,2.642323,-0.47401106,0.25575125,0.5262915,0.3937626,0.73473436,0.04303365,0.6869735,-0.46180248,0.757625,-0.13735841,-0.64247864,0.5919979,0.87152255,-1.7918242,-0.41690704,-0.48425952,-1.0764428,0.87491,-0.11854405
mellow,-0.7019386,0.4898601,0.24985182,-0.58031785,-1.4836459,-0.9652284,0.2917426,-0.13884962,-1.3695989,2.302447,0.66903716,1.1221939,1.4540658,1.697899,0.36380315,0.8983854,0.5054592,-0.036699496,-0.09510189,-0.17476828,-1.6783639,-0.23868906,-0.06576808,-1.0188475,-1.6953037,1.8932346,-0.36260197,-0.15316017,-0.58390975,1.1747828,-0.042151526,0.28721693,-0.5887726,0.46919376,-1.2265089,0.019791642,2.2262752,0.15724115,0.019043567,-0.69859004,-0.09217294,-0.04952196,0.025230851,0.45112,0.94792986,1.5164958,-0.28632826,-1.0626227,-0.02780451,-2.0167909,0.83992463,-0.5150865,0.8253991,-0.79456466,-0.85610455,-1.7885525,-1.6496272,-0.64082265,0.7516308,-1.0690837,-0.3345578,0.51061165,1.7842194,0.36773282,-1.3873111,-2.1625075,1.9300352,0.8009613,0.042282376,0.8133768,-1.946599,-1.501233,0.75017405,-0.7428691,-1.1702658,-0.35283557,-0.38724133,0.69216484,-0.4747333,1.1816387,-1.078323,-0.10573272,-0.638954,1.0260589,0.0022455426,-0.18718915,0.6638485,1.1694577,-0.28305718,2.1154284,-0.9165213,-1.3108553,0.6523099,-0.37504917,0.35742342,0.35561934,-1.2388883,1.736504,1.1873175,-0.8878939,-2.786754,-0.36090925,-0.18283537,2.1927426,-0.8136422,-0.42239526,0.9052621,-0.09798507,-1.2050289,-0.34255108,-0.367041,0.51722115,0.483058,0.67833143,-1.0492152,-0.99091095,-0.42090622,1.0054929,0.21870016,0.16121662,-1.4660985,-0.18630427,1.1326509,-0.7246583,1.6138281,1.9505181,-0.7374073,0.18752153,-1.288935,-0.64830726,1.2677023,0.07981455,-0.87160575,-0.2115681,-0.4747707,1.3976529,-0.96730185,2.1042883,0.0853502,1.3083394,-0.6013578,0.3185881,0.8761645,0.0041117016,-1.8345355,0.10014531,-0.28543106,0.07356563,0.9129109,-1.6777654
relax,0.97455585,-0.2774361,-0.4054896,-0.33478472,-2.3781261,0.8234124,-0.09785662,-0.68956083,0.21788025,3.0122883,0.2066623,-1.4076782,1.0921217,2.5138278,1.1697128,1.4326538,1.6915762,-1.4241335,0.13448101,-1.7195709,0.36420646,-1.1835436,-1.3788447,-0.6782213,-0.84954846,3.042274,-0.5456293,0.11330306,-1.092024,0.17041399,-1.0465627,-0.7629384,-0.21590678,0.65781564,0.14560792,-1.6046772,1.0260429,1.8934937,-0.7576608,-0.3781292,-1.8092059,0.7071283,0.38185546,-0.5948499,-0.15195805,3.2226417,-0.8613336,-0.046501458,1.7987031,-1.4958268,0.115836404,0.17836642,-0.08433597,0.52472943,0.33879498,-0.60883003,-0.4816345,-1.3473797,1.8984678,-0.14626358,-0.4134819,-0.5729898,0.32531995,1.2181408,-0.47587007,-0.9343513,0.7266692,-0.004114178,0.56555843,-2.287988,-0.41843966,-1.2440699,1.7157558,-1.1009167,-0.8807557,0.2755444,0.4284274,0.27547184,-0.93341124,-0.5911913,0.13985871,-0.44496343,0.5545324,0.6268808,-0.29594734,-0.01489525,0.70626926,0.5839669,-0.2651473,1.9579295,-1.3626822,-0.8955494,-0.03833558,-1.2124516,-0.12574594,1.3308761,-1.5948105,0.91630244,0.205758,0.19861679,0.66992253,-0.034611374,1.2604424,2.6172051,-0.03424351,-2.0366151,0.68228936,-1.1330806,-1.2428983,1.5367422,-0.5696348,1.2174139,0.52912694,0.51760656,-0.26765743,-1.2141912,-0.08104072,0.087225124,-1.4578003,0.52737963,-2.285655,-0.09310809,2.3185093,-1.9907167,1.7305549,0.9471048,0.8577494,1.90943,0.04643425,-0.25228068,-0.80751276,-0.21425487,-0.69823104,-1.3446674,-0.5742455,0.4814598,-0.63644063,0.04253682,-1.2714539,2.0386612,0.19277515,-0.63533825,0.47398162,1.0383328,-2.8114436,-2.682551,0.5527409,-0.11830024,2.4636955,-1.0562698
upbeat,-1.5840544,0.49148107,0.3293778,0.9747491,-1.7744812,-0.35159287,-0.42738524,-0.34007424,-1.2194442,1.5544665,0.37517187,0.9053507,0.7831619,1.7820733,2.0759847,-0.53321785,1.7499402,-0.036266122,-0.53574604,-0.8764297,-2.2313287,-1.6422509,0.22425295,-1.2486874,-0.4127543,0.6128646,0.673123,1.1499891,-0.5158621,0.5378851,0.26351914,1.9042213,-2.7984731,-1.0400072,-1.1498325,-0.8501634,2.806391,-1.6073527,-1.4698477,-1.0533663,0.3419677,0.4891026,-0.20804486,1.4618841,-1.1494051,0.8429255,1.6211399,-1.6625708,-0.6734517,-0.6099444,1.985476,0.8213504,0.75255054,0.4717994,-0.64103943,-0.5387638,-1.6795143,2.0365996,-0.29214802,-0.7084263,-1.9130819,0.9575192,0.8983206,1.0842197,-1.1183149,-1.2984724,0.68320477,0.67586166,-0.6102761,-2.4885468,-0.91301996,-0.7981374,0.7909282,-1.9399192,-0.95049417,0.3342272,1.1687006,-0.27540267,-0.9370275,0.52952373,-1.7778881,0.5756661,-1.071739,1.7923924,1.1303692,1.6519982,0.16673124,-1.2601653,0.40161714,1.82338,-0.123836696,0.5335416,0.39273453,-2.473239,0.83844465,1.3124264,0.6514577,0.7966595,-0.2236773,0.6306394,-1.69869,-0.70673895,-0.03269169,2.0353405,0.33417353,-0.21200973,-0.45296496,0.17165282,-0.91636217,-0.1164742,0.28687498,-0.47281432,-0.29126915,2.0191696,-1.7375698,-1.4831557,-0.4972835,0.84378827,1.6397914,-1.7457545,-1.0258797,-2.1123981,2.0900536,-3.9511292,2.0542397,-0.7694696,0.09441443,1.9858046,-0.79257995,-1.1247103,1.3514615,-0.01110233,1.548346,-0.23919179,-0.8414268,1.1448216,0.092336185,0.81115377,-1.1523376,0.727717,0.9364066,1.1722502,0.6254575,1.4956032,-1.7760346,-1.3265201,0.15459745,-1.5435985,2.262065,-1.0701038
smooth,1.1910859,0.49796042,0.16640048,-0.101581685,-1.4058082,0.17192698,-0.47286084,-0.2515437,-0.8096587,2.2345176,0.8297813,0.13291538,0.18329142,2.3511798,-0.001342122,-0.10107335,1.3670201,0.43102774,0.18034007,-0.56523687,0.13405105,-1.0728246,0.62607616,-1.338626,-1.6424705,1.4031799,-0.89975584,-0.48743972,-0.83901,0.07173607,-1.3265115,0.93703383,0.05931139,-0.21613456,0.89526737,-0.6756112,2.0057046,0.82939667,-1.9622283,-1.2672524,-1.5273166,0.48777053,1.1408459,0.6776019,-0.34804308,1.5374271,-0.1355361,-0.9423461,0.8332818,-1.551285,1.1122338,1.4005575,0.92634225,0.4952096,-0.20684005,-0.86242944,-0.9618187,0.255335,1.4806231,0.8339712,-0.19362152,1.4352528,-0.04978915,1.3226341,-0.14399567,-1.1753151,0.5600791,-0.2989616,0.071975924,-0.9571684,-1.8004504,-0.31974742,-0.03608845,-0.7408142,-0.7627957,0.7403169,0.03899258,0.15804985,-0.9540566,0.39516667,-0.837409,-0.7377754,0.6873245,0.90828323,-1.1316735,-1.2031248,1.1394836,0.80309755,0.19709697,2.2412574,-0.4388304,0.15110044,0.6008074,-0.45063293,0.1541143,2.0718207,-1.7613355,1.1521184,-0.12886995,0.5919177,-1.9515666,-0.84021753,0.6906386,3.697422,-0.46703935,-0.88268673,0.36236492,0.57134086,-1.0005577,-0.0065010334,-0.6471294,0.42898086,-0.087957576,0.38457093,-2.1106067,0.19798158,0.5531805,0.9263217,1.1174773,-0.74662346,-1.6849425,-0.368811,-0.17829004,-0.6739688,0.104596466,-0.9892017,1.209804,0.51332194,-0.4876813,-0.25753212,0.50604486,-0.6452844,-0.723613,0.40513712,1.6122465,0.9701453,0.30611923,0.33066952,-0.6367413,0.6288396,0.085283205,-0.40278393,0.81043935,1.0203153,-2.0595176,-1.0364872,1.2980641,0.07897954,1.3815012,-0.9776192
sleep,-0.6155145,-0.855118,0.06642539,-0.7417761,-2.2101264,0.48643726,-0.415018,-0.11173537,-1.0881537,1.4872323,-0.15490027,2.9027634,1.0024185,1.0204655,-0.14157075,1.1394022,1.0108278,0.4094855,0.7473052,-2.325204,0.5946644,-1.2740993,-1.2231408,0.6184223,-1.076121,2.3742015,-0.86918604,0.51577324,-1.4627144,1.0251034,-0.8045261,-0.31818023,0.25151363,1.2822496,-1.0544614,-0.6963466,1.203677,1.0103158,-0.38012153,-1.0606475,-0.09291465,-0.82307905,1.8355445,2.203992,1.3177478,2.3426006,-0.6134581,-0.18839033,0.4596579,-1.5855898,1.5334778,0.98844916,0.8296414,-0.81930155,-0.8260107,-1.5219157,1.0103918,1.7852437,-0.67601824,-0.8453654,-0.5345339,2.1452723,1.6523725,0.67087764,-1.5127603,-2.2553465,1.3688068,-0.016229983,0.45440215,-0.27905008,-1.0820832,-1.0622634,0.56464434,0.48827136,0.47147322,-1.9594672,-0.19902381,0.6299026,-0.7836049,1.1818863,-0.014638863,0.074510075,0.64489996,0.33180064,-1.7305833,0.006321385,0.32961318,0.023682492,0.39649782,1.1192708,-0.32044396,-1.0739394,-0.26450616,-2.0772183,0.26219064,-0.2632275,-0.4947054,0.5303283,-0.6707326,-1.126169,-0.43544284,-0.06638919,1.0559344,2.3591015,-1.1852473,-1.9818144,2.1513138,0.8033252,-0.96812403,1.1486906,-0.015163768,0.7589601,2.1080663,1.2690037,-0.26165736,-0.7518262,-0.90442485,-0.17909051,0.9551703,0.59647703,-0.18011588,-1.0925608,-0.31197828,-2.8504438,1.5827204,-0.5561822,-0.8416158,0.24017306,-0.3981913,-0.70419043,0.9145538,-0.6477365,0.14718753,-1.3642198,-0.80980545,0.34061873,-0.32708728,-0.9752627,-1.0199138,1.1083275,-0.9049609,-0.11984268,-0.18593803,1.0895226,-3.4534774,-0.04992377,-1.1456885,-0.86604553,1.813096,-1.5578201
sexy,0.7127183,-1.0355136,0.35429248,-0.6822523,-2.0068069,0.4217062,-0.79508156,0.71009916,0.15143551,1.3673954,0.6447413,0.97989994,0.31474778,0.7445924,0.7395854,1.1171708,0.90415317,-1.6762606,-2.1156237,-0.98129636,-0.14490491,0.03616111,-1.3570201,-0.76050746,-1.814176,0.086628035,0.27777687,0.55010486,-0.5833108,2.0020695,0.7984869,1.5678747,-1.3156558,-0.13494168,0.5197011,-0.4301022,1.1917936,0.7756933,-0.0032981809,-0.80613166,-0.2652545,-1.3176619,1.5269051,0.9395083,-0.018851656,1.65978,-0.13695158,0.34042725,0.2895154,-1.4095912,0.3784827,-0.20217495,0.7260396,0.17151305,0.43883923,-2.1645513,-1.4165441,-0.06307922,1.1766937,0.14281315,-1.0947242,0.2598563,0.97058296,-0.09302385,-0.6253572,-1.4931248,1.8729348,-1.5194848,0.091453135,-0.569933,-0.9062199,-0.46730223,0.3968147,-0.81179315,0.8024174,-1.1974928,0.013233653,0.024176918,-0.45208272,1.2227609,-1.2943279,-0.39466545,0.6418209,1.1280584,-1.2026378,-1.1290882,1.563577,0.45406976,0.9413858,2.2334704,-0.045243356,0.5766014,-1.8625184,-0.66962266,0.076523416,0.26325014,-0.7177882,1.027681,0.49249148,-0.07255969,-2.1332915,1.048716,0.4624376,2.8126137,0.3908338,-0.38345,1.6060661,-0.6106956,-0.40525684,-1.0958093,-0.27663022,1.2815218,0.018086838,-0.36458018,-1.7129122,-0.5610255,-0.4395193,0.82809997,0.8511406,-0.42875206,-1.3567312,-1.495238,0.60412204,-1.3853511,1.2666355,-0.69292605,0.20905343,1.7740362,-0.7904111,-1.072047,0.46248826,-0.10552589,-0.31364352,-0.032136504,0.06758234,1.9439331,-0.383481,-0.9708595,0.1609306,2.7059596,-1.4333379,0.23441005,0.83231777,1.281871,-1.0739053,-0.5679399,0.14467636,0.016888183,0.8527174,-1.3145549
happy,0.3068627,-0.8483053,1.1263658,0.3999876,-2.160705,1.2558146,0.14719832,-0.6822217,-0.59564686,0.4358004,1.0436897,1.1947961,-0.059050288,2.4866846,-0.9378583,0.5117119,1.9268271,0.19385408,0.5721474,-0.18222472,-0.4638079,-1.7918514,-0.84859204,-0.31947652,-0.14778069,1.7193482,-0.19748005,-0.3020469,-0.29551235,0.028448455,0.33818308,0.49584913,-1.3462315,0.09926057,-0.2299105,-0.21881872,0.5781722,0.30262715,-0.3617816,-1.6878188,-0.41978374,0.44201934,1.267109,-0.23787229,-0.064063475,0.8237029,-0.022236764,-1.691605,1.2681652,-1.6276704,-0.0021887294,-0.5994854,-0.038827024,-0.91549116,-1.2139959,0.17987865,-0.6448024,-1.3544106,1.3830568,-0.66190916,-1.5981126,0.7346915,1.0479853,0.6607733,-1.7989739,-1.3843588,0.7420324,0.12764959,0.7872511,0.72632545,-1.1106321,-1.0882733,0.5784136,-1.0779344,0.15555634,-0.012396937,0.15329781,0.41246673,-1.2078788,0.46077958,-0.44288766,0.5575452,0.9040946,0.74238956,-0.2300954,-0.11071518,0.44263095,-0.722482,0.0985613,1.4803821,-0.5511283,0.36108372,0.2483018,-2.230929,0.8389136,1.4638288,-1.5392579,-0.10647343,0.029011527,0.84713817,-0.42494062,-1.7188425,0.22305866,1.4610671,0.10040102,-1.5087553,1.6767683,0.5596552,-0.8115541,0.9084924,0.12717955,0.2654327,0.052701697,1.2178984,-0.20840378,-0.8065168,0.12299909,0.36837947,0.8339956,0.25864655,-1.8261856,-1.1177728,0.9428605,-0.92715085,0.09349912,0.12172501,0.46234787,0.8365409,-1.5837599,-0.5074457,1.0208229,0.99426717,0.33245412,0.38630244,-0.42917922,1.7944055,-0.6720682,0.9918374,-0.028689347,1.6482815,0.755284,-0.13170835,0.36871326,0.5987879,-0.8446733,-0.743685,0.14881779,-0.7252354,1.8087322,-2.1750968
party,-0.083196744,0.21750301,0.46615353,-1.2577224,-0.7654621,-0.21218465,0.4335194,0.13752782,0.4281956,0.9467672,0.6121393,0.321797,1.8761911,1.9653049,0.49521267,1.089199,0.8381811,-1.2749436,0.019915609,-1.702673,-0.0894746,-1.4486518,-0.11168835,-0.29385948,-0.4109836,0.6708398,-0.8499122,0.5172813,0.6645958,1.254724,-0.21827038,-0.39115763,-1.9777796,1.3599235,-0.9838848,0.42233545,1.146089,0.99362403,-0.9202842,-0.45702958,-0.9362599,0.13355075,0.6395913,0.34154677,0.05719563,0.29863128,-0.5936912,-1.09021,0.7130167,-0.95602566,1.1983715,0.7131719,-0.07006783,0.5231106,-0.030630013,1.1554863,0.012542934,-0.6857693,-0.051775288,-0.16695866,-1.6263577,0.3130917,0.0489871,0.39546308,-0.031353384,-0.21164432,0.22384445,-0.72444904,0.74961144,-0.4607479,-1.110763,-0.5758225,0.6550502,-0.09394816,-0.37454852,0.7851155,1.0866017,-0.7024251,0.13709196,-0.014456704,-0.15114857,-0.19032942,0.24004668,1.264544,0.19390276,-0.2957247,1.5809845,-0.002530996,0.83134973,2.378947,0.17921749,-0.026339881,0.45270187,-1.1381176,0.087367155,0.91580915,-1.0878905,0.76223755,0.6844161,-0.5112038,-0.7300751,0.54740053,0.58282316,2.0212786,0.15307629,0.15471752,0.17973328,1.8042575,-0.2585969,-0.73714024,-0.18375699,-0.07261253,-0.23019071,0.8613341,-0.20102955,-0.5456935,1.4229755,0.43978086,1.4212826,-0.06311257,-0.75538695,-2.0528967,1.3788922,-1.3261455,1.0805389,-0.25587776,0.89706284,0.42032358,-0.83132285,-0.7609662,0.16150717,0.7670506,-0.44293728,0.61769456,0.7215,1.4223242,-0.24507795,0.5743728,-0.56425166,0.9856837,0.8490519,2.000503,-0.39245957,0.50389105,-1.250472,-0.76471734,0.76538837,-1.0239886,1.6730347,-0.63720953
moody,-0.044447556,0.42755786,-0.6923235,0.017960235,-2.4933777,0.8945087,-0.38994095,0.77074516,-0.38744366,2.5095668,0.2555634,2.5993848,1.1056536,0.7962097,-0.33832735,-0.13921277,1.8926595,-1.1678168,0.9453371,-3.7408772,-0.49283156,-1.5969228,-1.8532703,-0.032669876,-1.2944547,1.5063174,0.8530034,2.0208175,-0.27993178,0.065531485,-0.66883427,0.47456366,-0.83185524,-1.8383516,0.3564779,0.8196615,2.2852092,1.9275334,-0.0038769583,-0.85004354,-0.51727384,0.4731563,1.9436854,-0.568532,-0.37228513,1.4880066,0.72149336,-0.5643541,-0.33830163,-1.2489215,2.202418,2.2455342,-1.2069111,-0.9967057,-0.34309602,-0.76991534,-0.73950064,-0.7928726,0.32820287,-0.03422668,-0.3198079,1.0359968,0.53812873,-0.21109784,-1.7872813,-1.337579,0.025142558,-0.42433944,-1.5848966,-1.6497042,-0.50183785,-0.50642234,1.2221551,1.3660727,-0.8352485,1.3295425,-1.6735703,0.8959206,0.085021004,-0.7903206,-0.6490247,-1.472621,1.5776024,1.8624533,-1.038063,0.7411931,0.04268809,0.029411875,0.9213021,1.3023914,0.660261,-0.4632341,0.56983995,-1.4958624,0.85718524,2.7656505,-2.7128797,1.4449338,1.3165722,0.057048086,-2.051147,0.08441346,0.5603963,2.1102216,-0.48804063,0.30388618,1.8098451,0.5609567,-0.74588543,-0.7601246,-0.22289152,0.58539236,1.4016712,0.802352,-1.7848638,-2.0733764,2.0091681,0.48166662,0.33571574,-0.5521189,-0.71336794,-0.07339552,1.2363778,-1.7181087,0.84978807,-0.12128952,1.1058381,0.6888916,-0.8886169,-1.5373294,0.7811406,0.12827101,0.33147335,-0.12686266,-0.9013754,0.9206118,0.60712636,0.15265867,-0.37385303,0.760911,-0.04240347,0.6818868,0.21438874,0.28177124,-0.9007144,-1.0624542,-0.52672166,-1.2973454,2.2842538,-2.411444
