term,v0,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31,v32,v33,v34,v35,v36,v37,v38,v39,v40,v41,v42,v43,v44,v45,v46,v47,v48,v49,v50,v51,v52,v53,v54,v55,v56,v57,v58,v59,v60,v61,v62,v63,v64,v65,v66,v67,v68,v69,v70,v71,v72,v73,v74,v75,v76,v77,v78,v79,v80,v81,v82,v83,v84,v85,v86,v87,v88,v89,v90,v91,v92,v93,v94,v95,v96,v97,v98,v99,v100,v101,v102,v103,v104,v105,v106,v107,v108,v109,v110,v111,v112,v113,v114,v115,v116,v117,v118,v119,v120,v121,v122,v123,v124,v125,v126,v127,v128,v129,v130,v131,v132,v133,v134,v135,v136,v137,v138,v139,v140,v141,v142,v143,v144,v145,v146,v147,v148,v149
chill,0.3494261,-0.06763445,0.34462252,-0.14355713,-0.12218067,0.31158292,0.18160331,-1.0179341,0.3265606,0.2802912,-0.22388649,0.34974855,0.17202699,-0.27226147,-0.033292744,-0.38780743,-0.15914673,0.06675553,0.40124607,0.023849351,-0.09185389,-0.007081875,0.39953226,-0.6575745,-0.27217472,0.020646468,0.09730796,-0.4247457,-0.053049657,0.021653907,-0.55324197,-0.05853196,-0.0032746878,-0.20144169,-0.42112267,0.07914265,-0.40797177,0.31389496,-0.32400337,-0.54162294,-0.6572197,0.014146768,-0.0151358815,-0.31226087,0.26906258,0.17929608,-0.18788788,-0.6006066,0.6056838,0.05491117,-0.11587377,0.50614625,0.1961664,0.42118624,-0.39502317,-0.19207245,-0.013351195,0.028529147,0.34508374,-0.10677634,0.061471004,0.38076603,0.042894956,-0.58235836,-0.225415,0.073943235,-0.20172143,0.014123951,-0.40724367,-0.1894933,0.18741807,0.41755885,0.3816399,0.042728383,-0.16288164,0.059097078,0.11445231,-0.26312295,0.27017573,-0.27812746,0.15109552,0.071839884,0.066062465,-0.07585947,-0.3129581,0.09676393,0.5669618,0.1379976,-0.14040028,-0.096139945,-0.6067509,0.10660902,0.19134127,0.50213104,0.39180088,0.02178826,-0.6573555,-0.14890487,-0.37340963,-0.039283313,-0.17734611,-0.45426804,-0.14352962,0.1097604,0.16815004,-0.0699645,0.510646,-0.06121168,-0.6479815,0.26422018,0.9065508,0.33585635,-0.20807187,-0.042724147,-0.043327738,0.15248077,-0.025719484,0.17883453,-0.10761071,-0.06649078,0.67709094,-0.13563718,-0.17502406,-0.07805085,-0.46304497,0.5175888,0.8109204,-0.34765285,0.1444812,-0.6916596,-0.31647027,-0.12896273,0.06665297,-0.18758248,0.48883832,0.1818446,-0.47373077,-0.29217082,0.07984473,0.122922935,0.4105289,0.025180059,-0.16415092,-0.111241706,-0.368556,-0.09107664,0.6613389,0.18184677,0.041894484,-0.18195002
mellow,-0.07403486,0.16305454,-0.29493716,-0.08645771,0.046074152,0.01532973,0.1592327,-0.09293132,0.35877767,0.061216023,-0.046479445,0.14124714,0.050500683,-0.16045071,-0.18559237,-0.23951209,-0.53815764,-0.11067703,0.43200114,0.3284401,-0.49542996,-0.35394847,0.33856273,-0.3652301,0.21337938,0.078081034,-0.10110292,-0.4442233,0.038035247,-0.2580088,-1.1433873,-0.17803062,0.15913516,0.23596253,-0.43034512,0.31707925,-0.7626169,-0.07727454,-0.25865355,-0.4048024,-0.5991047,0.46076542,-0.44287914,-0.69863635,0.27742055,0.0063568796,-0.5756067,-0.30644464,0.39031407,0.22659504,-0.44873103,-0.056052595,0.29150307,-0.21078019,-0.7016886,-0.16778322,0.19087397,-0.44997495,0.4308127,0.082164586,0.23093387,-0.5290504,0.1793332,-0.41724166,0.012139951,-0.068958744,0.08141421,0.13471739,0.09871096,-0.5055114,0.41410944,-0.39304757,0.4811034,-0.17564468,-0.45673436,-0.19734555,-0.1409298,0.07904726,0.6619505,-0.09898429,-0.59144914,0.18255655,0.12406856,0.41982928,0.18932237,-0.913221,-0.09381581,-0.0006384356,0.08243969,0.34205306,0.19408463,0.30609363,-0.060692336,0.03215128,0.30765134,-0.5235755,-0.8400832,0.6047836,-0.04380163,0.26627132,-0.04716258,0.007311044,-0.21104467,-0.058091793,0.32821685,-0.25790676,0.438633,-0.2390765,0.20360346,0.59050053,0.37343937,0.08153762,0.23494634,0.14742076,0.23584776,-0.028645666,-0.19862106,-0.117019854,-0.028512027,-0.07177465,0.471717,0.44165355,0.18504784,-0.27269235,-0.14040306,0.8201975,0.5268424,0.35209993,0.12199781,0.18931864,0.2844318,-0.54931957,0.39536822,-0.04229097,-0.33428195,-0.37447438,0.12525028,-0.053131334,0.1768984,-0.2735328,0.0010934087,-0.36004764,0.6764546,0.32092315,0.31171152,0.07762921,0.28320932,0.46787286,0.043481175,-0.85926133
relax,-0.23038328,0.11588723,-0.0067121414,-0.0974995,0.0015617531,0.38139307,0.036772363,-0.42628723,0.31274113,0.26570272,0.14296208,0.2577335,0.3939643,-0.096355446,-0.05738415,-0.4640013,-0.36143023,0.41937473,-0.6318234,0.15792693,-0.16836546,0.1599587,-0.07671284,-0.039004747,-0.07519352,-0.30643204,-0.13662523,-0.37534004,0.2768387,0.3008072,-0.72761893,-0.69100225,0.64517045,-0.09649262,-0.12720636,-0.052545503,-0.26085362,0.25348145,-0.20394973,-0.35091546,-0.055802304,0.24863888,-0.32275638,-0.13795488,-0.002349915,-0.044160604,-0.23608224,-0.23488528,0.52339065,-0.29985535,-0.6540605,0.625971,-0.114901535,0.21718149,-0.14312942,-0.11567154,0.010696374,-0.06309681,0.14281172,-0.23599747,-0.3101361,-0.324297,0.1361992,-0.34751835,-0.19496527,-0.25247493,0.4254411,-0.28471842,-0.29458308,-0.5943337,0.53652877,0.12654385,0.49067292,-0.4132387,-0.20956026,-0.07784832,0.31628013,-0.10235602,-0.48897877,-0.09722832,0.0023728905,-0.06785378,0.09432537,0.14055766,-0.27205333,-0.61661255,0.79001933,-0.17317896,-0.84404206,-0.03483397,-0.12262505,0.39306247,-0.42125243,0.14915743,0.33016264,-0.29774174,-0.23169011,0.36858776,-0.8272406,0.074154034,-0.06751811,0.5644923,-0.120064855,-0.100981236,0.39361328,0.20090173,0.71228176,-0.04227387,-0.32525706,0.19505377,0.43987688,0.11068092,-0.18840985,0.20295253,-0.511417,-0.1929789,-0.11318751,-0.14910512,0.12125206,0.06033234,0.17887399,-0.6065833,0.13678287,-0.12791938,-0.38694525,0.12990986,0.6192428,-0.31762844,-0.014691928,-0.045824938,-0.33903083,0.48125112,0.06367397,-0.3146076,0.19111438,-0.2095847,-0.3569051,-0.34364694,-0.066468105,0.05498315,-0.44228205,-0.23837385,-0.23281866,0.10150722,-0.2725676,-0.112028934,0.51861835,0.1494685,0.4278391,-0.021389201
upbeat,0.03428325,0.2805095,-0.4078326,-0.45094043,0.088431895,0.37475523,-0.39810088,-0.44993,0.1994516,0.21515144,-0.4701213,0.6765111,0.4256283,-0.13607697,0.097630784,-0.6184952,-0.16672783,0.019223811,-0.08718993,0.18864474,-0.14692487,0.6696759,-0.08317771,-0.109183654,0.48059323,0.017302467,-0.10565472,-0.7058692,0.04572244,0.12332384,-0.11120798,0.026816856,0.00469865,-0.004639613,-0.3115213,0.027557088,-0.5718269,-0.6389133,-0.22705151,-0.110010125,-0.0767235,0.53824824,-0.42026466,-0.2179723,0.49073377,-0.24337386,-0.24904034,-0.9461458,0.5194258,-0.12835687,0.043595664,0.10897821,0.6288022,0.11553458,-0.07414412,0.04698561,-0.2942971,-0.42303085,-0.13071088,0.04618445,0.09562864,-0.17526957,0.57110405,-0.33260444,0.113680765,-0.008604421,0.053418513,0.0772737,0.0056192325,-0.1463012,-0.1183876,-0.21071039,0.038842972,-0.24627781,0.15494849,0.08543107,0.15652949,-0.014167852,-0.06822528,0.17605905,0.2988839,-0.2408938,0.31783682,-0.3256812,-0.45747706,0.007941117,0.0004266842,0.1356518,0.41437155,0.09956299,-0.6117162,0.15229657,-0.078208566,0.2565097,-0.22153743,0.3083173,0.034902375,0.17787962,-0.28027782,-0.5091392,-0.18500584,0.305042,-0.3906687,-0.067297794,0.09703529,-0.6593523,0.40986872,-0.028149497,-0.5949599,0.6361242,0.15255545,-0.008898786,0.36525264,-0.08583609,-0.17252494,0.11895827,-0.8493311,-0.07075581,-0.1774403,0.3251139,0.22139788,0.28529105,0.46902934,-0.4529142,0.012249981,0.4085803,0.76263666,0.5397704,0.14223787,0.029545167,-0.33527872,0.15610266,0.21582992,-0.63846046,0.12627214,0.095316894,-0.29101107,-0.27990225,-0.121696346,0.056958657,0.41793317,-0.4484792,0.1108803,-0.0871269,-0.6628457,0.328624,0.14049397,-0.22907597,0.3074069,-0.43317282
smooth,-0.12535998,-0.2588518,-0.70015854,0.10854342,-0.06009903,0.7202566,-0.45897198,-0.646547,-0.13766827,-0.009043159,-0.14931135,-0.11427528,0.5983632,-0.3214566,-0.59380084,0.11456136,-0.7674503,-0.57740945,-0.35723004,0.4681872,-0.111670345,-0.040269688,-0.00046366683,0.1701379,-0.27995148,0.17094563,0.23299475,-0.79543054,0.024019757,-0.3089039,-0.26531464,-0.4376053,0.022542832,-0.15225542,-0.6345694,0.08741113,-0.24782285,-0.05441581,-0.22757907,0.010460609,-0.16443142,0.051587652,-0.07456605,-0.4098652,0.26113895,0.00047836994,-0.3199098,-0.1538341,0.45677522,0.21380657,-0.66951156,1.1215435,0.55373794,0.65624714,-0.12122591,-0.1459983,-0.15448418,-0.3808334,0.85359454,-0.16480598,-0.17597994,0.55551106,0.030361233,0.47649834,-0.25654215,-0.06728488,0.22707468,-0.58355826,-0.24351908,-0.29602984,0.024325717,-0.28025505,0.25996494,-0.3177903,-0.68677384,0.07628432,0.017568735,-0.39661285,0.8415252,0.029078199,0.78205645,0.28798366,0.44304165,0.32621774,-0.10001883,-0.54101384,1.0619617,0.374747,0.47706887,0.2324272,0.43058178,0.24785915,0.12749124,-0.14498885,0.34251487,-0.4151274,-0.06511431,-0.42638886,-0.8079119,0.39511368,-0.1589454,-0.24104834,0.7952248,0.07112174,0.24421616,0.14460184,0.72949195,-0.1611974,-0.16800055,-0.09735455,0.37901947,0.45889765,0.73323,0.25928766,0.4121516,-0.03621062,-0.76019514,-0.20287518,-0.22829904,0.42602614,-0.00899344,0.08607703,-0.3974042,-0.39666972,-0.25900367,0.9405565,0.66064256,-0.1345181,-0.075693674,-0.048576154,-0.30032685,-0.058221817,0.26752183,-0.5877573,-0.12339188,-0.5027279,-0.34922937,-0.36473727,0.47803885,-0.5325891,-0.6935157,-0.3871791,0.04879753,0.5900359,0.000473689,0.22116676,0.55083066,-0.16307126,0.4820367,0.13504319
sleep,-0.003909795,0.36695167,0.3050876,-0.32390803,0.38910136,0.37351045,-0.24697322,-0.04452409,0.045390464,0.28976908,0.6634651,0.39538556,0.51412886,-0.30553165,-0.44327134,-0.20427966,-0.5284503,-0.100815855,-0.09239536,0.017539568,-0.60915387,-0.042981602,-0.29673728,-0.7989631,-0.10583925,0.101870045,-0.5939066,-0.03135449,-0.30925483,0.16173775,-1.3439765,-0.5329528,-0.30085802,0.26528424,0.06738234,0.7230137,-1.091401,-0.24349874,-0.96702814,-0.9063902,0.10569818,0.40938544,-0.40272918,-0.334518,0.34372753,-0.29311273,0.35506767,-0.8510442,0.76935667,-0.45389926,0.21550845,0.17962483,-0.28313398,0.33106497,-0.3417097,-0.13792843,-0.049867623,-0.37864164,0.17874476,0.27723706,0.25974873,-0.22147766,0.12854405,0.20335677,-0.62308985,-0.481136,-0.21975967,-0.59355026,-0.38396236,-0.1551979,0.5760175,-0.14539182,-0.10108178,-0.63331467,0.095381774,-0.23954627,0.7924126,-0.36738658,0.061305344,0.28081715,0.5359335,-0.14068705,0.10949273,0.10985851,0.41773897,-0.42192048,0.2231745,0.2158992,-0.4446397,-0.23501365,-0.115458325,0.75901705,-0.21263139,0.2619886,0.56258,0.06488574,0.47551548,0.6105571,0.5145726,-0.10646115,-0.38034415,0.2811283,-0.088464275,-0.17608862,-0.2345544,0.3376288,0.07915143,-0.073948845,-0.71396345,0.39774024,0.5262966,-0.056909498,-0.4600418,0.3282525,-0.027576793,1.0404624,-0.5823102,0.11658016,0.24832997,-0.37851056,0.29220253,0.0015712989,-0.18629476,0.16185471,0.23051128,0.4022153,0.38529855,-0.24326457,-0.60684717,-0.12562457,-0.14496367,0.3635261,0.19648114,0.33803895,-0.6371009,-0.10409262,0.40900972,-0.26600474,0.8806606,0.7141906,-0.6251923,-0.16635913,0.08404482,-0.22925553,-0.4181735,-0.4522404,0.10347572,-0.068771206,-0.54429775,-0.096097864
sexy,-0.03824068,0.2937513,0.03219926,-0.4015561,-0.15822847,0.00089322694,-0.2171434,-0.23370776,-0.052970752,-0.15319048,0.16995901,0.123977244,0.53309166,-0.6505805,-0.40534204,-0.46905288,-0.89632875,-0.8411118,-0.3004863,0.13955322,0.09505854,-0.16696316,-0.56331533,-0.2725843,-0.11642768,0.18754362,-0.6745697,-0.11080612,0.07969455,-0.35599607,-0.23708324,0.14984907,0.09472028,-0.6515955,-0.16581027,-0.22446753,-0.2527773,-0.1839553,-0.2318984,0.033075623,-0.10925072,-0.35478765,-0.535577,-0.5972386,0.41560927,0.20192268,-0.14374498,-0.63893,0.006103645,-0.64751554,-0.7104251,0.6842782,-0.100855835,0.2117562,-0.47496375,-0.3956192,0.25147402,-0.03535966,-0.018928908,0.1087275,-0.2821614,0.43832907,0.4167138,-0.23540135,0.1839545,-0.18954398,0.6405795,-0.06724217,-0.36632198,-0.021102054,0.2529765,-0.20751116,0.25029233,0.115860045,0.09055407,-0.22755265,0.18261266,-0.46790057,-0.069688864,-0.21303743,0.12381516,-0.3066774,-0.36701295,0.49281555,0.36934534,-0.27567437,0.4006506,0.07727342,0.48181567,-0.027820433,-0.022293568,-0.2093729,-0.57014924,0.7336801,0.4384295,-0.3628191,0.033078,0.07562015,-0.11063325,0.68008494,-0.6432029,0.051325075,-0.30142486,0.07823719,-0.1146147,0.29721394,0.14286827,-0.40408027,-0.46941316,-0.048946805,0.7050495,0.35178146,0.37576935,0.021509271,0.28980276,0.41422865,-0.6852009,0.5507566,0.11357982,0.066495724,-0.0810176,0.28316748,-0.16604929,-0.36172003,-0.22313577,0.035156958,0.3779203,0.35042182,0.30634674,0.030484956,0.11194164,-0.09766705,0.13006559,-0.44958147,-0.57284254,0.0096494835,-0.63482374,0.0021853372,0.02607914,-0.20543501,-0.049180757,0.8207917,0.24915588,0.22465992,-0.27469745,0.28389788,0.68769586,0.25250548,0.6074454,-0.5199913
happy,-0.041000463,0.08589407,-0.547355,-0.7899416,0.4509917,0.11463432,-0.26887372,-0.50487083,0.13284875,-0.13921961,-0.04169329,0.25246283,0.45405778,-0.17334588,-0.2896823,-0.036326263,0.10230525,0.50692046,-0.3346315,-0.09503698,-0.1499719,0.22308749,-0.48148644,0.013501082,-0.07036488,-0.44360963,0.20052674,-0.49403557,0.44532946,-0.13093856,0.1686446,0.081172146,0.35148123,-0.1631583,-0.6129845,0.070004955,-0.946817,-0.21626039,-0.2720365,-0.56737524,-0.15845558,0.69051886,-0.11021131,-0.8434325,0.19130754,-0.16252632,-0.25877294,-0.7901533,-0.07269156,0.06877891,0.7709885,0.5701827,0.30845177,-0.43155625,-0.34456056,-0.22486164,-0.5019299,-0.12951303,0.0100049665,-0.04695536,0.46359342,-0.09430522,0.14063843,-0.6619279,-0.49136913,0.3712887,0.25811398,0.46814802,0.040864866,0.3290332,0.22772399,-0.32244098,0.6159229,-0.081459835,0.25911525,0.043199066,0.060915753,0.18717355,0.18476549,0.33200848,0.27878025,-0.52123743,0.029246883,0.62390906,-0.36729455,0.25039616,0.24277464,-0.34295696,-0.050730843,0.2914215,-0.008059385,0.50649625,-0.3598658,0.0270634,0.2770568,0.055065833,-0.2094625,0.17520797,-0.70774716,-0.12219608,-0.42178628,-0.71733266,-0.12456925,0.08000221,-0.40772957,-0.01076212,-0.0648156,-0.22847138,0.22650804,0.74778014,0.05072622,-0.044186857,-0.30538386,0.6115077,-0.03818853,0.050784744,-0.75583804,-0.5253377,0.6921395,0.004913838,-0.046849065,0.1952676,0.040977035,-0.3539451,-0.5935461,0.3151296,0.3975501,0.103284,-0.4494015,-0.11865539,-0.4438868,0.17261735,-0.04267008,-0.51685494,0.030687816,-0.32101566,-0.4397674,-0.298932,0.9428661,0.15587053,0.25728625,0.030239543,0.32662582,0.3336068,-1.2542605,-0.0814017,0.74386007,0.010835948,-0.06817164,-0.8381658
party,-0.5319748,0.5034944,-0.6912591,-0.3141366,-0.16714016,-0.15188396,0.35580868,-0.28326255,0.39425495,0.15725131,0.018357247,0.056238268,0.26731324,-0.31556892,-0.22827394,-0.06743876,-0.67534584,0.2966589,-0.10372316,0.3043283,0.055754453,0.46186602,-0.21423556,0.44767383,-0.16398738,-0.04819359,0.02354402,-0.24233653,0.36687624,-0.65981936,-0.46107113,-0.36552015,0.7731724,-0.057882413,-1.0445901,-0.13972774,-0.5688882,-0.20971175,-0.2873564,-0.3339491,-0.11147478,0.7577527,-0.6362252,-0.21944277,0.3276942,-0.34001124,-0.33140466,-0.71944445,0.15455212,-0.53524077,-0.11480983,0.5384421,-0.08333734,-0.32030076,0.16692378,0.048810076,0.20360252,-0.045654446,-0.049084984,-0.3698791,-0.18020418,-0.44385895,0.16672629,0.07892183,0.3868128,0.10805033,0.47697365,-0.04634242,0.4558407,-0.25627443,-0.123167686,-0.55700237,0.30808306,0.11825904,0.12451449,-0.0137878,0.059066683,-0.71682817,0.32294756,-0.12322275,0.7332093,0.16798241,0.16897799,0.07111348,0.25596562,0.235534,0.33551005,-0.9428956,-0.07550579,-0.09237804,-0.22959356,0.079604015,0.123680405,0.16913876,0.8996298,0.23995908,-0.62310565,0.19038458,-0.12046567,-0.55762476,0.31695572,-0.5092715,-0.594119,0.37568188,-0.07218082,-0.55950516,0.13199157,0.5193218,-0.35963917,0.6878414,0.32752374,-0.047470603,-0.20592551,-0.43518785,-0.010411979,0.29263866,-0.08297749,-0.33762679,-0.049503077,-0.59320575,0.03133621,0.5985995,0.13993551,0.04795963,-0.13405053,0.21710362,0.35428733,0.06683874,0.38059926,-0.11210881,-0.042525653,-0.57898325,0.112075426,0.5594289,-1.2940248,0.18459575,-0.63555557,0.41275558,-0.0887233,0.016491467,0.043716002,0.54632944,-0.16532248,0.13430017,0.006696938,0.13987748,0.3144352,0.7918133,0.35885283,-0.42253786
moody,0.31802788,0.47636217,0.11667417,0.1713517,-0.58951664,0.39256203,-0.21695639,-0.69970715,-0.0054791714,0.17677476,0.08723873,0.3527458,0.028247202,-0.32800022,0.6380779,-0.07045077,-0.19362915,0.3292986,0.2936205,-0.18313926,-0.2907334,0.18917662,-0.7105218,-1.0591942,-0.19153492,-0.20375678,0.038548242,-0.2634587,-0.22290273,0.26283103,-0.38783482,-0.30314127,0.039354388,-0.31548598,0.12524717,0.16324894,-0.24004786,-0.015859682,-0.23232724,0.13470219,-0.2720571,0.19817509,-0.18421026,0.036417734,0.5166321,-0.81793886,0.36636838,-0.759447,0.7485442,-0.28469315,-0.4954612,0.4374655,0.20012276,-0.17289394,-0.16218503,0.10502541,0.25758886,0.016422002,0.10347691,0.43167305,0.4157721,0.19518921,0.5127331,-0.13220038,0.11027204,0.60839605,0.1383531,-0.31986684,-0.44251326,-0.61248666,0.73405075,0.298137,-0.0045498735,0.008648722,-0.016256895,-0.5397162,0.3585204,-0.7378542,0.07377702,-0.117672846,0.82483757,0.18970753,0.6862123,0.1397693,-0.00675246,-0.47770616,0.85139763,-0.021783497,0.0017963367,-0.6176653,-1.1987677,0.5301986,-0.37682933,0.0033981,0.5463915,-0.04511073,-0.02642065,0.08790706,-0.029888982,-0.24449444,-0.8312761,0.003606014,-0.3251852,0.015896518,0.24005958,0.039114658,0.18703133,-0.07862677,-0.35645667,0.4976579,-0.05808923,0.18901712,0.13705969,0.19023533,0.16882184,0.2060318,-0.30821255,0.043358617,-0.33663645,0.08584613,0.35314083,0.37477693,0.05160109,-0.20421448,-0.17418866,0.0661687,0.5257367,-0.19049393,-0.0588704,-0.006534682,0.57557756,0.12120265,0.38170466,0.10510394,-0.3606657,-1.0729696,-0.41610438,0.25964662,0.5276456,0.17145565,0.0837967,-0.4311388,-0.37023672,0.15363297,-0.6726624,0.39125836,0.1223535,0.6646638,0.51528156,0.117370866
