term,v0,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31,v32,v33,v34,v35,v36,v37,v38,v39,v40,v41,v42,v43,v44,v45,v46,v47,v48,v49,v50,v51,v52,v53,v54,v55,v56,v57,v58,v59,v60,v61,v62,v63,v64,v65,v66,v67,v68,v69,v70,v71,v72,v73,v74,v75,v76,v77,v78,v79,v80,v81,v82,v83,v84,v85,v86,v87,v88,v89,v90,v91,v92,v93,v94,v95,v96,v97,v98,v99,v100,v101,v102,v103,v104,v105,v106,v107,v108,v109,v110,v111,v112,v113,v114,v115,v116,v117,v118,v119,v120,v121,v122,v123,v124,v125,v126,v127,v128,v129,v130,v131,v132,v133,v134,v135,v136,v137,v138,v139,v140,v141,v142,v143,v144,v145,v146,v147,v148,v149
chill,0.25397575,-0.13431165,-0.027838511,-0.10077998,-0.21096994,0.047015533,-0.12009768,-0.5237995,-0.063813955,-0.03627622,0.26822582,-0.1133131,0.7679572,0.046567332,0.06828031,0.33587727,0.38297996,-0.02902307,-0.12876989,-0.048221476,-0.21698593,-0.11643099,-0.01679104,-0.85796875,0.26639885,0.103914805,-0.31139657,-0.03846711,0.00510333,0.45026535,-0.44985113,0.5876166,0.50791734,-0.104104154,-0.40296316,-0.5545358,0.22015187,0.1155756,-0.25142938,0.22871943,0.18232965,0.18449815,-0.06652562,-0.010825808,0.18246531,0.2120058,-0.011533941,-0.61608475,-0.005511491,-0.2579627,-0.11713333,-0.25530174,0.23615028,-0.030410321,0.02209694,-0.7624907,-0.17193471,0.39940202,0.24125193,0.13236317,-0.31144008,-0.26119742,0.1692649,-0.19525827,-0.5341304,0.25011835,-0.7219655,-0.113359526,-0.39341825,-0.39292866,0.16770594,0.04468056,0.4155045,0.055521067,-0.23279119,-0.26545405,-0.3490506,0.113509186,0.22935274,-0.045663316,-0.120808944,0.4635389,-0.10884283,0.6466717,-0.009186687,0.4271339,0.35865533,0.39504242,0.26669592,-0.19032115,0.110163614,-0.1654135,0.4232485,0.2161058,-0.43292174,0.047309488,-0.07941838,-0.19308376,0.067658454,-0.17643467,-0.54952276,0.10388764,0.68548757,-0.28380167,0.07405344,-0.2625991,0.13771574,0.4293067,-0.07206324,0.2393798,0.08051994,0.15057464,-0.20840855,-0.09348284,0.06828538,0.31425238,-0.06485303,-0.44145647,0.6648669,0.13778196,0.59045994,-0.32664916,-0.058816694,0.18560104,-0.22513293,0.121044286,-0.30022642,-0.13753992,-0.18784064,-0.23370807,0.48282817,-0.58870256,-0.2471706,-0.5256268,0.68834156,0.07966276,-0.14789866,0.06672792,0.66554725,0.08431105,0.2519489,-0.2742087,-0.05322434,0.5184011,0.47762856,-0.02446853,-0.54717726,0.44458407,-0.3592306,0.18879741
mellow,-0.3033091,0.059454273,-0.19093783,0.1244361,0.17808492,0.098297544,0.11086491,-0.39780188,-0.28295618,0.50924665,-0.3100199,0.14066367,-0.24609372,0.0065194992,0.21700339,0.3669498,-0.63383496,0.087851405,0.8206396,-0.48910308,0.12301441,-0.32150587,-0.22085476,-0.509513,0.51505303,0.40639132,-0.5262811,-0.47673035,-0.61273056,0.10961024,-0.44742814,0.6340686,0.17210673,0.0982883,-0.14014103,-0.6072487,-0.43813008,-0.38689905,-0.4148489,0.15306067,0.037594244,0.29264995,-0.30596694,0.028200317,0.5302719,-0.027397156,-0.2933038,-0.6572255,0.16398117,0.23331128,-0.4015126,-0.40487078,0.43835044,0.016099716,-0.19828737,-0.2532114,-0.064525,0.3048657,-0.017107565,0.46882004,-0.49262694,-0.4567715,0.2225776,-0.24526522,0.23617503,0.01940047,0.4413407,-0.020554336,-0.27159527,-0.7319475,0.20425415,-0.40838182,0.22063814,-0.01753152,-0.14587611,0.0018054295,-0.23718508,0.23192464,0.2578288,0.33926722,-0.47324935,0.04776268,-0.33569965,0.038969092,-0.19808924,0.2047599,0.17110324,-0.60153013,0.4281168,0.021492764,0.76532835,0.14283349,-0.17560284,0.40791592,0.092916854,0.00023939853,-0.31227106,-0.73386574,0.024210585,-0.40865457,0.0036191687,0.44505545,0.047679584,0.14906108,-0.40704814,-0.14415134,-0.43758357,-0.27665108,0.09936862,0.5159908,-0.03818294,-0.26620135,0.34693867,-0.22993197,0.28367597,-0.26046437,0.17140636,-0.17328915,0.42049757,0.074564695,0.07745203,-0.039540216,-0.51968026,0.032388225,0.08782452,-0.17904998,-0.46101606,0.037184916,0.008126197,-0.03155156,0.6177357,-0.3278643,0.15674831,0.17697413,0.32174975,0.037292298,-0.21035981,0.36194274,0.21441184,-0.26801336,0.2627137,0.10464359,0.48009267,0.08850328,0.59492594,-0.09673899,-0.26434195,0.4544001,-0.4340368,-0.69385076
relax,0.13896845,0.29583427,0.04940063,-0.15551062,0.17318027,0.0028963762,0.2383124,-0.6319922,0.11757818,0.22305115,-0.017501988,0.009351804,0.6417436,0.074071065,-0.32652375,0.20089412,0.24745247,-0.029345619,-0.47507724,0.057322677,0.14255641,-0.034045007,-0.09152732,-0.99781114,-0.030020464,-0.2263875,0.017555665,-0.02781315,-0.17041937,0.61599106,-0.16794297,0.54554594,0.29762307,-0.0526131,-0.4361202,-0.70447624,0.04887677,-0.02402234,-0.4726107,-0.25189716,0.19994697,-0.021835104,0.2276908,0.38792673,-0.23412132,-0.07887383,0.23311284,-0.11013542,0.5397296,0.28229308,-0.14780802,-0.16683854,0.001133639,0.029680382,0.39217407,0.062010117,-0.17907214,0.5164875,0.651219,0.124712124,-0.8087357,0.122947335,0.06341668,-0.07702786,-0.2257755,-0.32924,0.12445628,-0.35561228,-0.31534636,-0.72252,-0.19151977,0.39902437,-0.114855096,0.07127026,-0.3834993,-0.009713719,-0.10978242,-0.1691674,0.1280997,0.18753763,-0.15471627,0.19197473,0.10877895,0.37993133,-0.52308697,0.3055352,0.500901,-0.33202383,-0.045320187,-0.17906438,0.2081331,0.07183176,0.2803202,0.62566036,-0.056131158,0.32982525,0.2672836,0.06979668,-0.42665207,0.7067631,-0.25220045,0.46146327,0.2501284,0.14395453,-0.12829636,-0.11875671,0.32012948,-0.31235617,-0.0542253,0.081259094,-0.08567105,0.46882775,0.11585712,-0.21429914,-0.09737789,0.37651148,-0.38847962,-0.047227688,-0.030796362,0.7426963,0.18459739,-0.29547125,-0.3437376,-0.09886321,-0.26425472,-0.22379668,-0.018675994,0.38628352,-0.758372,-0.27601784,0.3872493,-0.44725218,0.2802093,-0.030791335,0.48208678,-0.24576686,-0.043208685,-0.1643647,0.24596119,-0.05481601,0.08292375,0.05465208,0.36522725,0.27680904,0.07659818,0.06774193,-0.6122944,0.4197416,0.05786148,0.050355416
upbeat,-0.24527597,0.17262165,-0.040336013,-0.110002026,0.48001504,0.13047153,-0.06488932,-0.1277415,-0.35938135,0.27112117,-0.23877747,0.42266154,0.49787578,0.07228592,0.4367948,-0.24732515,0.64087427,-0.03045506,0.45239446,-0.11072891,-0.11036564,-0.4164773,-0.46789882,-0.615204,-0.0033032026,-0.25563827,-0.39026436,-0.42062524,0.010718827,0.3293113,0.24888162,0.8670451,-0.4264468,0.09571724,0.025028085,-0.3056231,0.34007543,-0.19830154,-0.077786416,0.0099076,-0.0005427985,0.24668545,-0.3498569,0.5360813,0.13516206,-0.31857333,-0.08673616,-1.1046444,0.24431443,0.16601151,0.06444891,-0.015581692,-0.19688061,-0.45029044,0.14591041,-0.54105616,-0.2882658,-0.14351001,-0.1875084,0.20815662,-0.015822414,-0.39401424,0.33596113,-0.19789445,0.74582255,-0.21969292,0.35834518,-0.07994211,-0.3724752,-0.06701572,0.043585137,0.13246317,0.08461755,-0.068843655,-0.101560734,-0.5063148,0.24406283,-0.36041462,0.17390105,0.31878248,0.24297045,-0.07306052,-0.3390541,0.55221516,-0.2850755,0.39436415,-0.12807557,0.22156158,0.74336666,0.22225742,-0.07676613,0.48838085,0.49726912,0.30003846,-0.26355138,0.31230447,0.08320011,-0.070487455,-0.050215896,0.05085501,-0.2945077,0.036711525,0.21045355,0.2872773,-0.1747417,-0.24372897,0.057618838,0.16274928,-0.2965176,-0.06803172,-0.13869584,0.1669042,0.30190894,-0.23201928,0.24477598,0.027867565,-0.33088157,-0.5320794,0.13943969,-0.22055925,0.56092244,-0.378277,0.5969893,-0.4444509,0.30932707,0.05019134,-0.35954478,0.34325188,0.1064641,-0.08428615,-0.13495271,0.26582858,-0.05985166,0.1739359,0.5203368,0.05441892,-0.25619942,0.03316946,0.2572308,-0.23438637,0.26626933,-0.32632503,-0.090447545,-0.34830505,-0.24378571,0.052912563,-0.7780726,0.5389778,-0.12874095,-0.28618804
smooth,-0.36709648,0.13056594,-0.1500823,-0.26948604,0.30712503,-0.67453724,-0.45193234,-0.48534778,-0.4141855,0.57002795,-0.16031575,-0.3192612,0.8391076,0.32476562,-0.05182286,0.77402014,-0.0060858177,-0.03997301,-0.36440182,-0.35448948,0.5822033,-0.23022203,-0.2137698,-0.36664358,-0.3104005,0.05175003,-0.4387018,0.30124438,-0.51197445,0.50907916,-0.28532776,0.5351489,0.1923159,0.018079596,-0.1309485,-0.74453974,-0.00962253,0.08651577,-0.03993,-0.42178646,0.25712284,0.47774318,-0.09197204,0.123025194,0.3152993,0.32163405,-0.115794495,-0.6901629,-0.11006823,0.25925523,-0.5090027,-0.1302952,0.36016172,-0.080575384,-0.39956206,0.20151672,0.72672236,-0.42681444,0.1760603,0.12734269,-0.5212952,0.4309348,0.2552367,-0.02727061,-0.2422704,-0.37553936,0.32195425,-0.10631656,0.071103945,-0.33895692,0.13180667,-0.16663967,0.36880112,-0.19263801,-0.23253599,0.10548996,-0.0479156,0.029497081,0.86857295,0.00452599,0.35019314,0.2636192,-0.1190865,0.42516047,-0.4144375,0.19143966,0.9924984,-0.09884798,1.331007,-0.19670005,0.20772603,-0.62199086,-0.24489406,0.83715826,0.10279841,0.15663439,-0.13034104,-0.33157945,-0.26443025,0.055660017,0.11248883,-0.058570024,0.6183373,-0.15251261,-0.5832839,-0.32345238,-0.121838704,-0.49168375,-0.6105666,0.17704928,-0.37189665,-0.03709183,-0.10467157,-0.19881852,0.50439185,0.4707122,-0.25947323,-0.09781191,-0.62698257,0.57997626,0.14206597,-0.40181237,-0.07221196,0.11727987,0.21055172,-0.4784615,-0.037697587,0.61785066,-0.042340677,-0.10850658,0.46360397,-0.40274584,-0.38405907,-0.31428644,0.021951623,-0.2287398,-0.5207024,0.8171743,0.0939918,-0.90857285,0.3567026,0.24165787,-0.5196107,0.39135757,0.3701078,-0.81141657,-0.050271615,0.15721986,0.15849239,0.34936413
sleep,0.04722494,0.5461631,0.14009488,-0.02022391,0.15031701,0.45904848,-0.071359195,-0.027738294,0.08058933,0.8965192,0.59777355,0.4709419,0.38129926,-0.37496698,0.33006534,0.08701835,-0.022726165,0.117200084,0.24216613,-0.016994238,-0.8237462,0.008924953,-0.1190115,-1.311411,0.111297965,0.6604776,-0.7744794,0.20813394,0.04527085,0.6014462,-0.33003902,0.9561551,0.28152987,-0.2474881,0.14472464,-0.62421435,-0.3396287,-0.7000429,-0.25981468,0.043548938,-0.03755656,-0.17215827,0.5515004,-0.32679957,0.21706806,-0.44016075,0.97194076,0.0669698,0.042977843,0.191787,-0.19742876,-0.35514185,0.4323971,0.53166085,0.12309515,-0.33337322,0.9291681,0.5257378,0.16416506,0.74196005,-0.28478158,-0.029222641,0.5232023,0.027168533,-0.17152268,-0.8646149,0.14751223,-0.49356127,0.24382108,-0.5453906,-0.8266863,-0.1593144,-0.2542401,-0.2081123,0.16304626,-0.15379538,0.1726326,-0.11610973,-0.6646277,0.6172425,0.8277342,-0.43529013,0.3499328,-0.01553966,-0.60241055,0.7692672,-0.4275859,0.053604297,0.076357745,0.2769997,0.025703304,-0.026604218,0.026297318,0.7926136,-0.075641744,-0.009182851,0.9678632,-0.45696688,0.019028125,-0.07827071,-0.37215874,0.053711075,0.059090313,0.1551776,-0.4727275,-0.099500656,-0.5704729,-0.09713637,-0.14576724,0.23483768,-0.7767364,0.34446895,-0.377012,0.28131032,-0.46337873,0.39803043,-0.11377486,-0.04869091,-0.1092704,0.18784435,-0.26195213,-0.6316865,0.078799374,-0.4557517,-0.37610322,0.0120872,-0.36110324,-0.20477195,-0.69977665,0.10414367,0.6181133,-0.3941895,-0.28099862,0.47495332,-0.28682253,-0.42738175,0.08023178,-0.12848426,0.3723796,0.31820086,-0.447396,-0.7490226,-0.045589544,0.21726143,0.27697685,-0.5752337,-0.38421717,0.0455772,-0.32965636,-0.087474436
sexy,0.20210026,0.41746786,-0.3318977,0.24852279,-0.047387294,-0.58226824,-0.42119196,-0.06332811,-0.8074473,0.86250806,-0.1824385,-0.45284694,0.17537177,-0.19401677,0.38617092,0.5047128,0.13416676,-0.5274706,-0.37989122,0.16690852,-0.0312958,0.25253606,-0.48645064,-0.27765915,-0.33761933,0.117059514,-0.36092713,0.28283155,-0.11397796,0.55086803,-0.7268521,0.49090043,-0.1270169,-0.33872488,0.14621644,-0.2006047,0.34755376,-0.17738299,-0.18717186,0.0329715,0.3605481,0.18731768,0.22478326,-0.3305416,0.54745275,0.17081325,0.56396216,-0.50937897,-0.15031575,-0.5059975,-0.6549559,-0.17227682,0.17537661,0.030083768,-0.28111824,-0.17059317,-0.14886916,-0.16552903,0.0989313,0.522702,0.036948044,0.045711197,0.011432756,0.026652852,0.10626407,-0.08266727,-0.068152666,-0.37347046,0.20033553,-0.2557422,-0.012161289,-0.07664716,0.18796742,-0.19420314,0.34240133,-0.16425158,-0.29679906,-0.19893587,0.11320804,0.47235912,-0.24732132,-0.17034253,0.19464646,0.30398926,-0.5884298,0.5792066,0.50109947,-0.15182684,0.556494,-0.13839391,-0.103917025,0.30055484,0.28452912,0.64386535,-0.11096645,-0.1756683,-0.06569337,-0.36002213,-0.06874146,0.34206817,-0.1807759,-0.3605874,-0.19614992,0.26073566,0.15646589,0.14868715,-0.578491,-0.41171578,-0.10637439,0.07360646,-0.28876743,0.07382723,-0.05405279,-0.023248635,-0.08043683,-0.15290016,-0.5489845,0.1073084,-0.0017150786,0.21832392,0.30840394,-0.31069684,-0.9941756,-0.7047794,-0.7391326,-0.2650101,-0.08539245,0.5438405,-0.10222538,0.5254589,-0.12868337,-0.12559521,-0.10920453,-0.33488777,0.10471578,0.07772136,-0.70552367,-0.06147556,0.008982206,-0.08903303,0.72571605,0.21542732,0.20750934,0.17621987,0.3135764,0.18021877,-0.7023258,0.04292718,-0.3381478,-0.388369
happy,-0.09387916,-0.38341713,-0.18597873,-0.100422636,0.03534529,0.32633707,-0.055464774,-0.18800834,-0.09974139,-0.13511969,0.107718475,0.13079281,0.76860327,-0.09688381,-0.13304278,0.23818626,-0.16576111,0.4147448,-0.04451566,-0.16975673,-0.037690867,-0.41573596,-0.5904428,-0.3744673,0.00795293,-0.17332952,-0.49016607,-0.29262105,-0.05148505,-0.23523575,0.4137799,0.6407676,0.5464626,-0.60144204,-0.033782527,-0.34277278,-0.42005607,-0.15524687,0.08381083,-0.042429578,0.05639789,0.49830005,-0.16859838,0.25267002,0.39199534,-0.083510265,0.31786263,-0.8924381,-0.18947966,-0.106561065,0.46548936,-0.20750944,0.21219622,-0.7297467,-0.22731236,-0.57609177,-0.038984645,-0.29077077,0.6232083,0.5510535,0.12245002,-0.06983571,0.08407951,-0.20542684,0.16577715,0.2685743,0.27869746,-0.005467363,-0.47470918,-0.56765497,-0.39340314,-0.2277602,0.20697236,-0.033363964,0.12641047,-0.36718842,0.16919479,-0.20548767,-0.037233043,0.4787081,0.041632887,-0.63655376,-0.2980831,0.23423569,0.23656309,-0.22439958,-0.106833495,-0.0077484045,-0.08414837,0.49047452,0.24709913,0.2346717,0.13786866,0.5003527,-0.5474661,0.124393284,0.24664147,0.48956096,-0.7224944,-0.13847478,-0.72066563,-0.5663026,-0.14452721,0.088114105,-0.44753304,-0.42626002,-0.39233539,-0.41196832,0.18887764,-0.041493785,-0.96264756,-0.26971593,-0.02215639,0.39397442,0.08229137,0.40948394,-0.3396048,-0.54518926,0.50868106,-0.046335496,0.79703015,0.04450752,0.4517416,-0.68986106,-0.04954352,-0.2340274,-0.4042492,0.09781475,-0.6500619,0.33226672,-0.4390121,-0.631493,0.22730763,-0.06066723,0.41537377,0.3810666,-0.752401,-0.07909541,0.6158677,-0.24532261,0.39166737,-0.024485061,0.09806519,-0.11257732,-0.52671117,-1.2575253,-0.49134538,-0.018436898,-0.518973,-0.34971204
party,-0.23883817,-0.24575715,-0.19729388,-0.13586749,-0.61158985,0.042857274,0.27904567,-0.2964478,-0.3783248,0.65096,-0.14558072,-0.11177654,0.35135597,-0.12828068,0.48371378,0.22120228,0.23929892,-0.34656382,0.017759565,-0.11035806,0.67813146,-0.55082333,-0.39293838,-0.47142762,0.25344685,0.6119515,0.0052441424,-0.060636066,-0.40582037,0.58447015,-0.54660946,0.39621854,-0.3860221,-0.4038301,-0.18157853,0.09749103,-0.20308861,-0.47349608,-0.34508404,0.13610817,0.11619062,0.6473495,-0.22087802,0.32381216,0.39007244,-0.12364946,0.42379957,-0.71481544,0.2829386,-0.30956385,-0.21323112,0.047884725,-0.65518457,-0.61817944,0.29264265,-0.61953723,0.014228093,0.18257193,-0.34130016,0.27125415,-0.76761764,0.03719694,0.057791248,0.8440448,0.34301022,-0.050551463,-0.0052828356,-0.44863835,0.15774016,-0.61758417,0.3091375,0.018426092,0.5975051,-0.18859057,0.1632756,-0.34368613,-0.0047857366,0.00078514207,0.00557155,0.23141506,-0.07368398,-0.22910914,-0.17693365,0.45125547,-0.22102162,0.06207754,-0.12565872,-0.26592886,0.2076764,0.18964095,-0.11945226,0.41511792,0.64611787,0.20843445,-0.4353169,0.08048905,-0.05259342,0.37719235,-0.86789626,0.12257386,0.20150243,-0.3194817,-0.46766502,0.09001528,-0.13996431,-0.39754423,-0.1271793,-0.4377593,0.3138889,0.0016547703,0.5394195,-0.3717928,-0.20723493,-0.0482172,-0.2653276,-0.27154848,0.23222798,0.20341912,-0.10115853,-0.8098471,-0.12401696,0.41428956,0.28721908,-0.0886498,-0.088522814,-0.3100061,-0.03887843,0.35777315,-0.120415635,0.36954394,0.29114693,-1.215124,-0.03311918,0.48791075,0.021942,0.66713876,-0.011829105,-0.2594669,0.324594,0.015371418,-0.5796596,0.53078777,0.60822093,-0.29455897,0.7093997,-0.28056413,-0.5535844,0.166776,0.29626125,-0.4388029
moody,-0.14323442,0.16337241,-0.09692022,0.064790286,0.007315015,0.3562263,0.273298,-0.092605814,-0.9679265,-0.23326129,0.082912005,0.19577059,0.11398504,-0.22041075,0.3155316,-0.18499592,0.095019504,0.0032352752,0.18224017,0.033317108,0.10394721,-0.014531662,-1.0726367,-0.79935616,-0.23277275,0.19931938,-0.547645,0.25434688,-0.6431115,0.58655137,-0.29133844,0.34878278,0.4059894,-0.030970654,-0.015620843,-0.26190802,0.5777046,-0.26717526,0.10853069,-0.028273154,0.3523757,0.7241621,0.19136868,0.26918927,0.24910305,0.17626749,0.371858,-0.7008935,-0.12430658,0.20313072,0.14481229,0.037116613,0.55585724,0.20757432,0.21015166,-0.41178274,0.17916211,0.47854412,-0.17833287,0.035615563,-0.31100142,-0.15308292,0.8987514,-0.33238003,-0.2652978,-0.3870629,0.17057842,0.29295173,-0.013797654,-0.6386487,-0.0807934,0.46304682,0.37457153,0.1446253,-0.31515387,0.12654278,-0.06663937,0.054310124,0.65065515,-0.078527294,0.4803827,0.3617869,-0.060098246,0.6155758,-0.3559285,-0.14525086,0.33721092,0.31146365,0.2227096,-0.344352,-0.61148685,-0.08204506,0.35668176,0.84674454,0.26884583,0.30514643,-0.19921765,0.10512966,-0.31834164,0.18980679,0.14323933,0.47801527,-0.16707155,0.2296843,0.11234035,-0.27407768,-0.30251372,0.13165574,-0.49325937,0.30119163,-0.40826362,-0.04147589,0.34963572,-0.505599,-0.5543839,-0.15157332,0.72146654,-0.08002552,0.13698517,0.12900919,0.18876512,0.013806485,0.606098,-0.3438435,-0.017007617,-0.09831477,-0.031550787,-0.5798481,-0.34145734,-0.013950563,0.7300537,-0.23749441,-0.5313517,-0.09751656,0.016315848,0.0011539825,-0.18077861,-0.4368946,0.3570364,0.8047011,0.92600685,-0.47222131,-0.19572976,0.08746353,0.08287459,0.16711232,-0.9063292,0.2896425,-0.12185478,-0.01803739
