term,v0,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31,v32,v33,v34,v35,v36,v37,v38,v39,v40,v41,v42,v43,v44,v45,v46,v47,v48,v49,v50,v51,v52,v53,v54,v55,v56,v57,v58,v59,v60,v61,v62,v63,v64,v65,v66,v67,v68,v69,v70,v71,v72,v73,v74,v75,v76,v77,v78,v79,v80,v81,v82,v83,v84,v85,v86,v87,v88,v89,v90,v91,v92,v93,v94,v95,v96,v97,v98,v99,v100,v101,v102,v103,v104,v105,v106,v107,v108,v109,v110,v111,v112,v113,v114,v115,v116,v117,v118,v119,v120,v121,v122,v123,v124,v125,v126,v127,v128,v129,v130,v131,v132,v133,v134,v135,v136,v137,v138,v139,v140,v141,v142,v143,v144,v145,v146,v147,v148,v149,v150,v151,v152,v153,v154,v155,v156,v157,v158,v159,v160,v161,v162,v163,v164,v165,v166,v167,v168,v169,v170,v171,v172,v173,v174,v175,v176,v177,v178,v179,v180,v181,v182,v183,v184,v185,v186,v187,v188,v189,v190,v191,v192,v193,v194,v195,v196,v197,v198,v199
chill,-0.2925441,-0.2179119,0.26221994,-0.32134938,-0.4996606,-0.22277632,-0.4858183,0.25269017,0.08779181,0.46896988,-0.013005854,-0.21900617,0.26779732,-0.2874527,0.31839332,-0.014733601,0.17558827,0.024309779,-0.43757346,0.21895178,-0.37483037,0.16555159,-0.10168837,-0.7652057,0.058664896,-0.19177337,0.022538267,-0.37696993,-0.09847961,0.06319498,-0.1469954,0.22426827,-0.14217407,-0.07958809,-0.18611734,0.26344153,0.12875749,0.15451993,-0.045207903,-0.27861,0.462771,-0.05375923,0.32116234,-0.0065941657,-0.098997876,-0.134932,0.12931193,-0.15263659,0.49107537,-0.23179932,0.21111064,0.1851723,-0.18739899,-0.24816571,-0.23150797,0.23903756,-0.32033202,0.47674498,-0.07691129,-0.24111141,0.2502464,0.31411773,-0.04385715,-0.13470268,-0.20928676,0.06132242,-0.3273506,0.1770836,0.22307737,-0.06789033,-0.43245468,-0.035745386,0.01269438,0.51678306,-0.060503956,-0.13344753,-0.22072281,-0.024573142,0.116258815,0.30711657,-0.047763843,-0.24311745,-0.41066685,-0.22761004,-0.16361882,-0.020652048,-0.26011702,0.3802739,-0.41396114,-0.22262129,-0.13562398,-0.09466171,0.22023107,0.553223,-0.01952688,0.31440914,-0.25020444,-0.81479436,-0.010494623,-0.056374654,-0.34234524,0.3129488,0.20697623,-0.23366597,0.362871,-0.42216158,0.14846425,-0.1982533,-0.19602762,-0.2837308,0.59086365,0.27821815,0.03955967,-0.03590698,0.032368585,0.17450438,0.047401287,-0.1969051,-0.018941645,-0.08536867,0.18452345,0.2179,0.66163754,0.12818007,0.3622184,0.46682084,-0.17049658,0.3062126,0.101372644,0.11935498,0.22744334,0.37151852,0.47459418,-0.22622108,-0.10876996,0.5530182,-0.0849355,-0.47467768,-0.023074515,-0.07081982,-0.14291625,-0.06408122,-0.23303157,-0.24484485,0.58967644,-0.5934093,-0.09907651,0.12624253,0.30467096,-0.23713753,-0.28909212,0.075531505,-0.17241552,0.02033031,0.24702464,-0.35993233,-0.002692901,-0.048842866,0.24519087,-0.5794509,0.117005385,-0.049189012,0.4912277,0.118026935,0.46828672,0.52923244,-0.23866665,-0.17710209,-0.2560575,0.5641722,0.37487367,0.36354673,-0.23086764,0.13686645,-0.3379951,-0.08879554,-0.008169234,-0.07087049,0.41367605,-0.21708673,0.006453435,0.2592179,-0.41826063,0.16321075,-0.24049123,-0.57557726,-0.107548006,0.0068169427,-0.20408595,-0.20688741,-0.07218148,-0.4206674,0.45222902,-0.06896695,-0.4276476,-0.160368,-0.071641035,0.44377196,-0.2941476,0.3269198
mellow,-0.25403818,0.081255324,-0.22715627,-0.12881044,-0.22988814,0.008820079,-0.5280132,0.013435373,0.20996547,0.22675617,0.25844404,-0.22566216,-0.2852923,-0.3101245,0.2619218,0.42400956,0.1118053,-0.6199362,-0.1596653,0.36330923,-0.064921364,-0.023595028,-0.30193692,0.321556,-0.28877112,-0.23406768,-0.40384182,0.086463235,-0.10536234,0.41809276,0.43753806,0.1634021,-0.16729797,-0.12039391,0.19599558,0.51705724,-0.19289364,-0.71855193,-0.12731047,-0.4654868,0.10527115,0.45570764,0.04674757,0.13684687,0.37876388,0.118150815,0.1350117,-0.18660246,0.66237396,0.13092661,-0.050049923,0.26866204,-0.09160091,0.056682523,0.39266288,0.79268354,-0.08286245,-0.021237068,-0.15949616,-0.15294668,0.13502675,0.060816176,-0.03168188,-0.20943241,-0.084163725,-0.3990324,0.22717784,0.122358896,-0.00014648293,-0.054572817,0.012336077,0.0458744,0.15277727,0.46161193,-0.16219285,-0.016862234,-0.29750714,0.42622948,-0.096471734,0.28138414,0.19416453,-0.18635063,0.008563366,-0.6840699,-0.16563453,0.3750245,-0.61069655,0.062995315,0.25359952,0.3349361,-0.5655914,0.039348874,-0.21037665,0.61649954,-0.70734537,-0.19678023,0.08872896,-0.053382073,-0.051177062,-0.11405442,0.25492647,-0.059348915,-0.1166734,-0.6255754,0.2575487,0.06380822,-0.38300383,-0.7890281,-0.28737614,0.37485594,-0.12073255,-0.12993294,0.14878011,0.010344734,-0.064319536,0.15049402,0.37727746,0.16448076,0.13120991,-0.4142856,0.37619606,-0.03220363,0.33971396,0.05799164,0.52280307,0.11573237,0.13226663,-0.35437325,0.0413622,-0.1823193,-0.028950157,0.14776966,0.17060742,-0.21181874,-0.2690186,0.3621265,0.39350867,-0.18918104,-0.06846324,-0.2252947,-0.04473365,-0.4386813,-0.47389293,-0.15273741,0.10976926,-0.47470006,0.19711766,-0.2575646,0.47331765,-0.16797528,-0.26492763,-0.04295523,0.44306594,-0.27575773,-0.08727463,0.056588743,0.12301154,-0.04205262,0.08255714,-0.29795536,-0.22498687,-0.39824045,-0.080883965,0.46670336,0.298658,0.5567028,-0.54552877,-0.41043976,-0.6208001,-0.04238905,0.38615164,-0.27689517,-0.19592382,-0.043098573,-0.27773556,-0.50207275,0.37987363,-0.49075323,-0.036524292,0.22054309,-0.60110694,-0.35160613,-0.24586578,-0.47928715,0.2859741,-0.118940234,0.09437908,-0.29776508,0.26581368,0.10099037,-0.022480005,0.013216818,0.68336,-0.18684328,0.108355224,-0.047930222,0.3125184,0.0014406701,0.018053947,0.04796857
relax,0.17152138,-0.38948873,-0.110437706,-0.34370664,-0.40770492,0.082394995,-0.18278585,0.1749799,0.36974272,0.39975724,-0.21558452,-0.31157658,-0.30007073,-0.56972593,0.42127058,0.3882485,-0.13571644,-0.33852324,0.17734753,0.12568283,-0.5794945,0.2583031,-0.24191241,0.24702506,-0.27222762,-0.6576366,-0.07552799,-0.3996151,-0.11489606,0.53112006,0.44638273,0.31554958,-0.5444626,-0.05949705,-0.41281697,0.016269019,-0.1346511,0.23945387,-0.14396498,0.40464416,0.26177168,-0.040458087,0.3176866,0.16322102,-0.3123754,0.00059397833,-0.19002554,-0.20307828,0.27750376,-0.048834708,-0.030638412,-0.061277106,0.09222163,0.016433738,-0.09428682,0.3775916,-0.3869001,0.19407164,0.33991492,-0.4248814,-0.22275636,-0.39184827,0.36910722,0.19191203,-0.22820364,-0.011116687,0.019428018,0.12818535,0.28850606,0.054910876,-0.5079313,-0.36471552,0.041513395,0.27949655,0.02340944,0.16867575,-0.28479177,-0.0012308857,-0.28165847,0.24534702,0.19008176,0.0254465,-0.39729112,0.31055677,-0.016744606,-0.028177775,-0.20965081,0.3119544,-0.20240057,-0.14222004,-0.06665744,-0.049752805,0.4349639,0.3213986,-0.47665888,-0.22504702,0.12733352,-0.18499488,0.22307368,0.10607042,-0.62395835,0.07697742,-0.14465071,-0.15852858,0.05426025,-0.19501072,-0.49533167,-0.13659687,-0.17947666,0.31165048,0.5075583,0.10814227,-0.1910667,-0.13023387,-0.25460073,0.24186912,-0.14561002,0.11371022,-0.21148898,-0.43954498,0.34717715,0.10550972,0.3879633,0.06845368,0.33879462,0.5774063,-0.1287735,-0.029264499,0.3402141,0.41686612,-0.23743078,0.5866312,0.34475145,-0.21511926,0.29006982,0.6078349,0.071448036,-0.29948688,0.20715535,0.19784464,-0.2072853,-0.47760865,0.10471132,-0.56123406,0.30226046,-0.503242,0.29777792,-0.005413259,0.047192313,-0.27123734,-0.0666704,0.2796818,-0.30945116,-0.1721409,0.24198459,-0.2005809,-0.379876,-0.027839107,-0.22048786,-0.08879062,-0.1498403,0.15812124,0.06054112,-0.257574,-0.053036172,0.3471037,-0.2725895,0.15381193,0.05626963,-0.25844783,0.21013486,0.27386865,0.2949261,-0.0864994,0.08753871,-0.17465074,0.15697165,0.20856918,-0.2008928,0.32819596,-0.27991277,-0.18026479,-0.17134911,0.4412107,-0.4239286,-0.30238762,0.07290014,-0.052989013,-0.28689772,-0.320388,0.09270193,-0.14647372,0.57851547,0.012416306,-0.14935164,-0.054486208,0.08565157,0.18272096,0.18203323,-0.29764473
upbeat,-0.17760108,-0.45507404,-0.09435892,0.018812705,0.38800082,-0.49754998,-0.10657068,-0.013657918,-0.15203084,0.24355982,0.13827403,-0.39498124,0.057155877,0.18872459,0.30245084,0.006686941,-0.1959223,-0.29841992,-0.07494868,-0.30540875,-0.34585696,-0.17459054,-0.38117975,0.11587121,0.5166979,0.11158844,-0.27257156,0.008471622,-0.1075889,0.2952771,0.009679721,0.22116417,-0.09856095,0.30387717,-0.19625956,0.46853012,-0.046745174,-0.34072575,0.008521907,-0.2962043,0.15291132,-0.33456126,-0.07748033,0.12139745,-0.24951713,0.41639692,0.11978543,0.14225824,0.49001375,0.15845715,0.018424967,-0.0069111045,-0.04837678,-0.2833897,-0.093603745,0.10050223,0.061225902,0.10241758,0.3965612,-0.08616039,0.2813614,0.52185786,-0.11769684,-0.22187315,-0.29503304,0.65033734,-0.08983552,0.50578123,0.40092736,0.0508063,-0.05287598,0.36952862,-0.10122535,0.28330415,0.3086025,0.525304,-0.51469743,0.79221886,0.005432548,-0.02997325,-0.05022474,0.44271374,0.32913256,-0.15467407,0.027662672,0.051499136,0.01544514,-0.0025115185,-0.4620665,0.13164154,-0.027568668,-0.1436676,-0.4766408,0.4407867,-0.49310637,0.19771244,0.30301788,-0.25989196,-0.09369586,-0.18539838,-0.8525572,0.18012813,0.42632216,-0.5637893,0.0756729,-0.055441126,-0.0379947,-0.39302874,-0.19973442,0.07845903,0.31489846,0.26871583,0.07840346,0.119158894,-0.040232945,0.31391123,0.074353926,0.29225954,0.051941644,-0.076207094,-0.31591308,-0.18756945,0.71987927,-0.032746565,0.25741556,0.09707433,-0.0709274,-0.17354009,0.16502137,-0.19370656,-0.103597745,0.261326,0.3222593,0.24394265,0.47654662,0.13432059,-0.06530849,-0.41870555,0.43477082,-0.006587863,-0.09524876,-0.48840487,-0.26245025,-0.54238284,0.1754562,0.2866297,0.11285809,0.21105197,-0.26471415,-0.22842556,-0.07672174,0.25633812,-0.12332019,-0.17794113,0.08982534,-0.57071376,-0.13073702,0.17243037,0.09752254,-0.08648205,-0.11076632,-0.14909405,0.16652259,-0.09839619,-0.1206456,0.43962964,0.08684111,-0.23672032,0.0020056812,-0.34877202,0.17364834,-0.025769431,-0.05756639,0.046088487,0.04810764,-0.21472305,0.07810506,0.21711448,0.14147161,0.22928503,-0.33126003,-0.007993848,-0.00014544283,-0.36498857,0.057149388,-0.38706687,0.17552531,0.19994529,-0.2964959,-0.18847105,0.4716846,-0.47937217,0.20227596,-0.57084507,0.40239802,0.08716281,0.16124558,-0.07006875,0.08862962,0.12717807
smooth,-0.3605794,-0.43649104,0.011969858,-0.53496873,-0.15645245,0.07768551,-0.38033852,-0.053785097,0.5852072,0.18518196,-0.0718581,0.25477272,0.21279272,-0.6071205,0.40287524,0.09591432,-0.4039283,-0.065977834,-0.21603368,0.16917872,-0.64910966,0.46877655,-0.41351727,0.418254,0.35733283,-0.349508,-0.32153982,0.27720657,-0.36083457,0.19168052,-0.046232354,0.5315124,-0.28781632,0.26678696,-0.026726196,0.7576046,0.2008164,0.2254878,-0.236123,0.15204698,0.46038398,-0.0838952,0.10181058,-0.19015442,-0.30740625,0.28973362,0.10559777,-0.060371947,0.7142578,-0.3133462,0.21364182,0.026385566,0.079283305,-0.18576853,0.316704,0.44873857,-0.7177204,0.075618416,-0.4387827,-0.50607514,0.48630026,0.25254282,0.55113083,-0.054698795,-0.4034177,-0.2623382,0.1642039,0.414702,0.025876798,-0.35211754,-0.015104052,-0.014547934,-0.14264372,0.63925326,-0.38728845,0.12355702,-0.42126888,-0.004001746,0.22145611,-0.23779225,0.33542278,0.20646363,0.041511506,0.37649506,0.12477061,0.07476066,-0.30301067,-0.15153095,-0.58072007,0.29562882,-0.09029265,-0.23837282,0.43242997,0.116032645,-0.11416016,-0.038343295,-0.53951514,0.11408403,0.32355917,0.20202814,0.050877143,-0.1771638,0.104057446,-0.34061238,0.39810956,0.3472702,-0.6895474,-0.48060626,-0.14083661,0.31559834,0.2139533,0.06858544,0.33661658,-0.50736165,-0.45675766,0.622157,0.02013423,0.372417,0.24790016,-0.70276713,-0.20036845,-0.022003457,0.22538768,0.056223255,-0.122165315,0.1924211,-0.19625193,-1.0002221,0.68114984,0.04444895,-0.6241629,0.14658639,0.40493065,0.15928851,-0.029007876,-0.19815297,0.77071786,-0.36960313,-0.37309977,0.313416,-0.21813825,-0.24959502,-0.09236661,-0.8238268,0.27130416,-0.32555833,0.04362902,-0.030955477,0.2668129,0.37757763,-0.24852364,-0.17161247,-0.718865,0.2265441,0.486444,-0.3409212,0.36817166,0.35566399,0.020078791,0.024699744,-0.64523876,0.3569108,0.014433288,0.13048679,-0.27742657,0.37874544,-0.2534569,-0.104428604,-0.26323417,0.14127934,0.2583082,-0.111290224,-0.28785473,-0.068470195,-0.068180345,-0.18392058,0.6035924,-0.08313118,0.24677591,0.014431628,-0.5203192,0.19629988,-0.06935574,0.42066514,0.017088654,-0.59560746,-0.37808362,-0.004152924,0.33385754,0.5895753,-0.42130747,-0.22690357,0.33640245,-0.09152002,0.20852311,-0.18799122,-0.3322223,0.42879692,-0.31758943,-0.203674
sleep,-0.15768221,-0.2203986,-0.1892285,-0.0066474327,0.35282236,0.36693603,-0.019603416,-0.030707086,0.4497633,0.5601173,-0.12114224,-0.029904269,-0.47651222,-0.0014032098,-0.4524716,0.28386307,-0.1021289,-0.2215014,0.09751249,-0.435229,-0.2887068,0.18594576,0.35089204,0.13868894,-0.21537986,-0.48874378,0.7117758,-0.38953143,0.089536175,0.654195,-0.047225196,0.28583577,-1.053817,0.03043729,-0.16285573,0.31767276,0.45004538,-0.49297708,-0.44404286,-0.014895375,0.13311873,0.14646621,0.32557923,0.57437986,-0.25871262,-0.34973162,-0.28593525,-0.05681959,0.20144238,-0.69078577,0.48260608,-0.05069884,0.15042917,-0.21555212,0.507518,0.927955,-0.071802355,0.18431023,0.121698834,0.16015999,0.24789369,-0.7527285,-0.37656203,0.63670033,-0.49308464,0.28600138,-0.4767522,-0.11952527,0.54543746,-0.5069614,-0.53973776,-0.4495567,0.57898355,0.14753284,0.34754512,-0.28815952,-0.29005715,0.29290995,-0.56110847,0.23226142,-0.23870984,-0.03786866,0.21425577,-0.18331458,0.09972433,0.04632616,-0.19354142,0.2811882,0.119358964,-0.12772118,-0.19685982,0.10202325,-0.06216574,0.7152816,-0.1948081,-0.3678198,-0.12447675,-0.83494425,-0.5418498,-0.81396407,-0.5596972,0.6950852,0.22344899,-0.10940032,0.15073642,-0.2608589,-0.18040462,-0.2082573,-0.017967585,0.11523926,-0.061717827,-0.14947271,0.4260627,-0.032016933,-0.03332343,0.25956976,0.94938123,-0.46611014,0.1373039,-0.50717914,0.32407618,0.029440641,0.27560142,-0.106670395,0.29214096,0.14192434,0.46721762,-0.44562957,-0.30039585,-0.3933039,-0.299305,0.52067155,-0.29628864,-0.44885367,0.49604124,0.30883294,-0.06145993,-0.67975837,-0.33007264,0.2170058,-0.07889593,-0.3614473,-0.58431554,0.10501525,0.37405905,-0.47533923,5.867451e-05,-0.08973211,-0.32150707,-1.4095798,-0.39020252,-0.1806706,-0.42702258,-0.0037199669,-0.5193888,0.05705806,-0.33913285,-0.19961414,0.069095545,0.26422057,0.34728414,0.6345939,0.24269497,-0.18207654,0.57007957,0.63907576,0.28373396,0.3895787,-0.24841087,-0.084009685,0.3032326,-0.11314921,-0.23368053,-0.5429069,-0.27445897,0.5388394,0.038735032,0.593556,0.28695005,-0.21688163,-0.28474796,-0.42435032,0.034245793,0.09696117,0.021167016,0.09241681,-0.12675157,0.15280013,-0.41252682,0.085645325,0.06952011,0.26502973,0.29231912,-0.1601966,0.35457727,-0.07564327,-0.38515055,-0.35458934,0.27118197,-0.37065846
sexy,-0.055993125,-0.07261512,0.07520767,-0.5038442,-0.23543197,-0.03225403,-0.042995956,0.1454358,0.097602665,0.2671446,-0.31132564,0.34770015,0.09565168,-0.4003661,-0.15047455,0.13604923,-0.18812475,-0.18614921,-0.31537047,0.058457963,-0.66589636,0.5459773,-0.6548427,0.46731243,-0.08647101,0.21435085,-0.2389107,0.20037338,-0.31154835,0.047208782,0.06505896,0.6611981,-0.28137973,0.19616874,0.18819883,0.31319976,-0.0360177,-0.33352265,0.022919921,-0.17440793,0.027269736,-0.3541946,-0.62175536,0.33421218,-0.28146043,0.046562694,-0.15082286,-0.011197632,0.112535454,-0.040510856,-0.19597937,-0.16539569,-0.3845552,0.31815282,0.7377196,0.8299138,-0.6157788,-0.023180736,0.19118589,-0.08661764,0.3241049,0.23154236,-0.09165699,-0.11313059,-0.5001546,0.2606253,0.07386914,-0.12066112,0.5275954,-0.39742693,-0.06429895,0.0035242718,-0.26627994,0.5495949,0.47234568,0.15481907,0.026209168,0.18638946,-0.35638642,0.104559414,0.068852864,-0.24128465,-0.11264465,0.15323335,0.124596335,0.6184615,0.14102888,0.43872005,0.20402342,0.007615272,-0.2508121,0.12246139,0.026992626,0.11808131,-0.44996855,-0.15182227,-0.7518038,-0.57179487,0.17340009,-0.23274337,0.122615516,-0.1170311,-0.36794996,-0.13217993,0.4128154,0.3584266,-0.046209283,-0.33100823,-0.49822828,-0.56639373,0.14276195,-0.029388234,-0.49771628,-0.35424033,0.068654075,-0.009178114,0.46376747,-0.1116274,-0.09089704,-0.06824981,-0.18940414,0.18831515,0.316602,-0.30112398,-0.308199,-0.41905075,0.15651008,-0.053968605,0.40375257,-0.006735539,-0.17697027,0.21540155,0.16166288,0.28829503,0.30013537,-0.20317921,0.38542628,-0.006270821,0.2152394,0.19893886,-0.014710952,-0.14034764,-0.058373697,-0.3980708,-0.06089171,-0.24619555,-0.0076452247,0.02624242,-0.16605799,-0.55491394,0.8301063,0.07113929,-0.5826759,-0.45319584,0.047143895,0.28661802,0.33725503,0.018509882,-0.06310228,-0.23826234,-0.4531852,0.052731626,0.22049609,0.40033886,0.08723342,0.8774709,-0.093753085,-0.06452077,-0.5582811,-0.02499628,-0.15690377,0.23312645,0.12530234,-0.0961765,-0.18251768,-0.09243235,-0.09651193,0.35965392,0.20760913,0.14424062,-0.04162008,-0.30999097,-0.38747814,0.081926145,-0.19453567,-0.592248,-0.110038504,-0.05867343,-0.1376098,-0.20204538,-0.26390198,-0.3007617,0.16737972,-0.41336015,-0.051934928,-0.3827548,-0.20737928,0.6335716,0.53988016,0.1387047
happy,0.045008216,-0.1873398,0.19968732,0.28722882,-0.28466266,-0.09272903,0.05819639,0.47776866,0.23952912,-0.38841632,0.19454554,-0.22986014,0.25207484,-0.31069493,0.07271305,0.30910262,0.010682251,-0.41891953,0.15796895,-0.31775683,-0.9583772,0.0016518724,0.16582361,0.16703105,0.031552188,0.08839686,0.050914533,0.0036680086,-0.08139055,0.23795469,0.04126799,0.39638886,-0.2785481,0.42699903,0.31055847,0.48967484,0.24029055,0.22001408,-0.35931247,-0.02528847,0.386469,-0.24495983,-0.2670654,0.23912919,-0.063233964,-0.2044066,-0.4810707,0.3283329,0.6489952,-0.08507092,-0.01155693,0.4551881,-0.22692247,-0.3520879,0.094174385,0.35893586,-0.43177292,-0.41689208,-0.0656988,0.20559585,0.3445483,0.49878538,0.36703986,0.12400617,-0.20210081,0.596807,-0.16608942,0.07042445,0.47254092,-0.028080378,-0.050915435,-0.09583158,0.16666104,0.24399625,-0.2490018,0.11147614,0.073732264,-0.123549744,0.18416269,0.5156626,-0.66811234,0.22879927,0.56311554,0.46826252,-0.55232614,0.41893676,-0.5468824,0.16051011,-0.7322107,0.19731839,-0.27643168,0.15966126,-0.53900164,0.13290004,-0.43356526,0.024617342,0.39034215,-0.00867329,0.2835599,-0.034256514,-0.58936286,0.535665,-0.15748906,-0.43898368,1.0515925,-0.08434105,0.4175813,-0.23967421,-0.1873452,-0.08495436,0.16546272,0.13121231,-0.18552668,0.5316314,-0.44262865,0.38349888,0.31527677,0.12222644,-0.15542492,-0.24744709,-0.027478507,-0.18376139,0.37658465,-0.3844133,0.48246703,0.06959726,-0.6281234,-0.59526265,0.090663075,-0.396736,0.3265871,0.36427742,0.056251284,-0.43723717,0.29037148,-0.030113168,-0.22811888,-0.18205465,0.097196385,-0.3275955,0.17687334,-0.23893844,-0.4640359,-0.6477647,0.42292255,0.28996974,0.13865519,-0.24177189,0.014406025,-0.19998136,0.0029218304,0.46830887,0.29437432,-0.60049057,-0.42127225,0.16820134,0.19982918,-0.47927824,-0.039415743,0.20166525,0.24087253,0.6477686,-0.30447894,-0.27550206,0.42940623,-0.062365618,0.13688502,-0.42208982,-0.37536314,-0.7627346,0.24842778,0.47741872,0.09805928,0.20400634,-0.27844062,0.0401614,-0.008738809,-0.09616531,0.5592487,-0.07756791,-0.049697842,0.3258886,0.35452873,-0.06776329,-0.048662405,-0.55965,0.22060934,-0.0806959,-0.3256262,0.21563847,-0.44088694,-0.39402586,0.41290012,-0.6480725,-0.16636764,-0.08861451,0.67064124,0.045001052,0.062514395,0.27950665
party,-0.43857643,-0.049623434,0.5719652,-0.015030906,0.050992955,0.07632652,-0.19685237,-0.3189941,0.5300066,-0.18937247,0.59723717,-0.4865405,-0.11447316,-0.45881566,-0.08035461,-0.018717915,0.09375738,-0.25845888,-0.23032835,-0.42873925,-0.3247195,0.08834603,-0.7141897,-0.07764445,-0.20030852,-0.3721835,-0.14839317,-0.2379533,-0.35906604,-0.112301454,0.10889391,0.19163886,0.0015586348,0.13550724,0.45350605,-0.23605137,-0.49234456,0.16904774,-0.6087818,-0.19683233,0.43301833,-0.6770086,0.3403961,-0.120628044,0.11561427,0.14085686,-0.094340816,0.08608075,0.3284667,0.16822876,-0.32412484,0.59973127,-0.14355145,0.06945705,0.006813127,0.19506666,-0.558667,0.15022817,-0.0032425008,-0.3026624,-0.21173465,0.18130615,-0.5039298,0.16785522,-0.5939726,-0.04843447,-0.40953115,0.25336957,0.12182042,0.64688635,-0.9897313,0.67071664,0.2204206,0.2579023,0.018530052,0.06487445,0.16768835,0.08103383,-0.06852062,-0.1085538,0.1969411,-0.013943101,0.45055223,-0.13833795,-0.40122843,-0.24092309,0.045717712,0.4637398,0.08280838,-0.2826371,-0.6915148,-0.34348562,-0.42095515,-0.023894979,-0.41339585,0.22550249,-0.39592895,-0.3416444,0.69205177,-0.5121685,0.22494158,-0.009841121,-0.12343339,-0.5155799,0.12485128,0.5193808,-0.36153167,-0.61263335,-0.7087879,0.34006307,-0.011851456,0.38830683,-0.2775366,0.49495924,-0.104422145,0.24777374,0.14520465,0.022863014,-0.11722242,0.11055357,0.25733772,0.40197292,0.141943,0.042426866,0.62077457,0.15843561,0.1388581,0.045921013,-0.13709071,-0.2980789,-0.31722468,0.2850856,0.12646073,0.24968794,0.8210327,0.6512346,-0.19006109,-0.13926268,-0.021120373,-0.3784367,0.017439568,-0.30635238,-0.5132978,-0.03611421,0.015606251,0.36927345,0.3661854,-0.2008612,0.25686753,-0.67502934,0.2272981,0.3279746,-0.2900304,-0.22822742,-0.16913673,0.12217313,0.21165241,0.45851183,0.14723273,-0.27132654,-0.069799595,-0.34213436,-0.10064591,0.39989263,0.22587559,-0.12817591,0.03913009,-0.5793198,-0.6768557,-0.4351489,0.009558961,-0.09858188,0.4524364,-0.67125696,0.20719382,-0.2598865,-0.043360483,0.3019704,-0.2255959,-0.16966583,0.08488995,-0.6305672,0.22580804,-0.17144607,0.3303684,-0.0636482,0.44677317,0.1973202,-0.04175078,0.061154053,-0.4199961,0.22960117,0.08575365,-0.4828048,-0.28725097,-0.0817866,-0.22815196,0.26529446,-0.033315714,0.17971955
moody,-0.11066029,-0.09075394,-0.011441948,-0.09661888,0.040408324,0.13551715,-0.014704393,-0.13427366,-0.20825672,0.22654682,-0.072766066,-0.2132489,0.4983949,-0.38286912,-0.49663064,-0.0106252115,0.18973827,-0.1820126,-0.64599067,0.15440996,-0.3368933,-0.27911782,0.24913603,0.23549373,0.43181786,-0.3548617,0.7645133,-0.40054598,0.110000156,0.5887368,0.4436629,0.2489383,-0.36970145,0.34595853,0.17068546,-0.07796266,-0.59151196,0.58522815,0.13424747,-0.040251862,-0.06349948,0.27692163,0.24645321,-0.5525641,0.2688917,-0.25735968,0.25233644,-0.048136584,0.2547687,-0.6179209,-0.10172718,-0.114901885,-0.20628574,-0.4679441,0.15986706,0.7291393,-0.26769847,0.24040577,0.36368454,-0.4334328,0.6543011,-0.06606241,-0.34711227,-0.08261068,-0.30880755,-0.17543341,-0.2057415,0.0024556809,-0.2337786,0.012724943,-0.5404841,-0.330499,0.21431237,0.15299946,-0.51888806,0.097697385,-0.40920693,-0.032428462,-0.71028656,0.14925943,0.41704994,0.4709842,0.14620282,-0.09416516,-0.19994093,-0.4715588,-0.047013424,0.4678609,-0.42494118,0.08238485,-0.26362368,-0.20481148,-0.42212507,0.71723735,-0.008096314,0.02973635,-0.22414173,-0.7501123,0.30176207,-0.5417152,-0.48398256,-0.21031149,0.7438735,-0.5489501,0.2644318,-0.2749639,-0.49594674,-0.28482258,-0.33768,-0.38609293,0.43100715,0.2871391,0.26700756,-0.33987108,-0.21887867,0.0818127,0.22307286,0.0017718935,-0.15713032,-0.40457618,-0.51502335,-0.16519453,-0.034846548,-0.39657903,-0.19640958,0.16809376,0.31274232,0.33412373,-0.13220735,0.054520607,0.06955442,0.53475785,0.19252895,0.009763293,0.17447715,0.018696247,0.05456745,-0.8095707,-0.061590362,-0.27806655,0.4540446,-0.6380515,-0.4214896,-0.32125324,0.14061807,-0.4092007,-0.0072543095,-0.22122693,-0.12609896,-0.31289703,-0.11193223,0.18888973,-0.52176213,-0.21573213,0.076337434,0.4471987,-0.19154328,-0.17125769,0.19782996,-0.07234192,-0.00076809956,-0.27133995,0.31007653,-0.15366341,-0.1924967,0.3328154,-0.33549026,-0.12920842,0.19157605,0.087699056,0.04141341,-0.038856123,-0.36964944,0.23720475,-0.64883006,0.030113041,0.20191202,0.35114318,-0.6747322,-0.6173805,-0.083851576,-0.084084556,-0.60952926,-0.32686397,0.48007476,-0.6821612,0.8454432,-0.10961569,-0.3122281,-0.4645907,-0.30728915,-0.11502037,0.013164408,-0.10328938,0.008581274,0.30734992,-0.033792622,0.33558086,0.07834755,0.3456355
