term,x,y
happy,206,38
joyful,217,29
angry,-25,179
depressive,-182,-107
exciting,-91,179
bored,11,43
sad,-77,-182
relax,-91,-199
calm,157,-92
sleepy,164,-161
at ease,5,-228
melancholy,178,-137
peaceful,-9,-152
bitter,127,-182
tired,-183,57
distress,-4,-229
tense,-159,126
gloomy,-4,195
passionate,-197,-108
feel good,75,29
glad,210,-18
pleasure,218,-39
desperate,201,-25
anxious,-183,-114
delight,-165,-185
hopeful,201,80
jealous,141,-69
amusing,-14,128
alarm,125,42
droopy,-16,200
frustration,-71,-214
ambition,-135,90
defiant,97,148
worried,-137,163
feel guilt,-16,-74
miserable,-91,-98
lonely,-212,-32
confident,-214,-160
astonished_scherer,117,-48
suspicious,35,-30
distrustful,-71,59
apathetic,-107,22
dissatisfied,-46,-32
disppointed,-138,-39
determined,-183,-8
longing,169,59
startled,51,-98
light-hearted,-208,8
quirky,96,66
courageous,187,133
astonished,97,203
